
key = model_output

forecast

key = dfs_forecast

,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
VCSH,-0.28182600551525344,-0.5897390945813263,0.005907008324496754,-0.2937848909127015,-0.5611360777831196,-0.32095328136255497,-0.039970815145661365,-0.272724378624431,-0.7371879729596049,-0.32336513913021486,-0.06791721338203899,-0.5535920463993538,-0.36050889587780305,2024-12-27
VCIT,-0.29536819708082995,-0.5754079761188409,0.02847408271391294,-0.2779120798469671,-0.5307017251480486,-0.2659360334206303,-0.04372230625608037,-0.22386657957389872,-0.6946853114425985,-0.3068123029141624,-0.05738197783419016,-0.549555623490857,-0.35012233473863363,2024-12-27
VCLT,-0.3396271584165844,-0.6107475140128965,0.004760830308070507,-0.3159484662714048,-0.6029840975616142,-0.26776566715542793,-0.10430185224009891,-0.30390373039655594,-0.7704337212332506,-0.3528560261727999,-0.10660509145636338,-0.6218720135946703,-0.4089429359416796,2024-12-27
LQD,-0.32969567950537354,-0.6094657749740168,0.015397173902891859,-0.3122015862910878,-0.5866463785926603,-0.2751966414871833,-0.082095105494248,-0.2840574546641237,-0.7578822972518339,-0.3403054670215406,-0.0910628592440102,-0.6072539996019304,-0.3918753747492698,2024-12-27
HYG,-0.1705073146358101,-0.4552224873455428,0.13744918839628595,-0.22057748436492958,-0.3746875331310967,-0.21957844346604566,0.03864996631346934,-0.16843348198597252,-0.6453229824316427,-0.3278260797370972,-0.06160004326955204,-0.49494128307130675,-0.3025241939858987,2024-12-27
SHYG,-0.1529531859657383,-0.4113587885349259,0.1463829978551937,-0.2283717692101947,-0.35081170857212235,-0.2002811661818764,0.020048245689558986,-0.2122160280517928,-0.6408864722542356,-0.33695789164550083,-0.09737064796230652,-0.4956975968704187,-0.3000113150292261,2024-12-27
MBB,-0.32050289096285756,-0.600297176230663,-0.00369367166655743,-0.28932931980550675,-0.5573849682376659,-0.2872167406113831,-0.05082514358024218,-0.22476097224973457,-0.6827382701747693,-0.27844802867231455,-0.04108682907355343,-0.5384862479990923,-0.34012452089390255,2024-12-27
VMBS,-0.32330965835134023,-0.5963448068982435,0.011797421504067818,-0.2862601591077315,-0.5352014821841481,-0.2731156712611324,-0.03705609970101853,-0.194786937252554,-0.6554051316288897,-0.2572214157077542,-0.02528271460890877,-0.5267130889518836,-0.3199171377228011,2024-12-27
AGG,-0.2885805226799388,-0.5707519335385554,-0.003512351309161388,-0.26762699343940805,-0.5461989950928936,-0.28073565434499304,-0.055732550658818464,-0.23720593102577883,-0.6928102668277046,-0.3091276348169543,-0.059892189022721004,-0.5341061996543914,-0.35717621721621706,2024-12-27
BSV,-0.278766850207261,-0.5797824083402645,-0.03366806936210076,-0.28437427145409,-0.5643205743538418,-0.3374754775820922,-0.04534006104298349,-0.2722595503311124,-0.7010074201467279,-0.2931646443303626,-0.05492989738399781,-0.5128470035714608,-0.34148820011537995,2024-12-27
BIV,-0.28092848712108454,-0.5630788226094657,0.001168861727808057,-0.2659360343816627,-0.536535514031088,-0.28090753761422443,-0.050097840167359936,-0.23594084084351272,-0.6877159035626,-0.3069104770386044,-0.05944474474138664,-0.5280739355079515,-0.3512020187622008,2024-12-27
BLV,-0.30813174198754206,-0.5666555914104681,0.002039426019652346,-0.26825828655462547,-0.5477678266380254,-0.24385260775330408,-0.08078355535834292,-0.236476136651021,-0.6888843385819842,-0.31545837971525176,-0.07329401532782354,-0.5533363323925338,-0.3703704598214874,2024-12-27
BNDX,-0.21323923157213434,-0.3992371994877092,0.0673636365154745,-0.16223631510126377,-0.3242260969998292,-0.1262010456009696,-0.0035984978707755133,-0.05670307391920341,-0.4374289755167662,-0.19690961822871028,-0.003452744416678588,-0.3763903320043859,-0.22831420590040288,2024-12-27
EMB,-0.23620488296423856,-0.5703698384125374,0.03609541200083288,-0.25897079349386004,-0.5170419230890586,-0.32415632095566277,0.008798593184205505,-0.21964198545960317,-0.7209884801226019,-0.32774666941232744,-0.04237672182283986,-0.5235994558027983,-0.34430173389044116,2024-12-27
GLD,-0.07101186593764028,-0.09615743160097845,0.11381686141953859,-0.10341587542208008,-0.06719938090832127,0.019520751886840382,-0.020522599748923676,-0.08817423437676573,-0.19726785644651998,-0.11397112967902916,-0.07495421957311399,-0.20719715812049908,-0.09326427810424966,2024-12-27
SLV,-0.04745409213933285,-0.0661313831115958,0.01238264051716699,-0.08656765749939957,-0.08331238974731553,-0.04134403792674263,-0.035768327597702286,-0.12240424994951674,-0.13612898614903796,-0.060430566629252294,-0.0607671453015349,-0.11422110537023607,-0.057642103926666535,2024-12-27
USO,0.10783565498739282,0.19962556926849928,-0.04035448135581657,0.07430333093255329,0.2325725528977147,0.015342168390331146,0.08992231230597258,0.12564965510794815,0.3652773077729356,0.2572325798139016,0.10730672265265762,0.3140989648517575,0.25658990724971303,2024-12-27
PDBC,0.0632921869591927,0.13841725700680038,-0.021428872393564835,0.02428388393644504,0.18918126032711163,-0.005491448068809551,0.08912225505991002,0.09930800638742925,0.3047272676607627,0.246503870524962,0.10240850196890333,0.25261941548953043,0.23969520187851753,2024-12-27
VNQ,0.005747430061251786,-0.3127179752928355,0.059479837859500284,-0.020173948195738256,-0.3135250002950143,-0.20671328730920893,0.047554180655644845,-0.09278082769858081,-0.5834804577278752,-0.4136844553579818,-0.057361218980536366,-0.3530069044958148,-0.35100871052779326,2024-12-27
VNQI,-0.14212905724917757,-0.3226707016049873,0.09965061384245533,-0.16008269343019949,-0.25617587790975294,-0.13242138279507712,0.021151789395746468,-0.09911443603644539,-0.4252497463515458,-0.2049900785842942,-0.03369724393833223,-0.3447048837760834,-0.19833875079001184,2024-12-27


