
key = model_output

agg_variance

key = agg_variance

,0
0,3.145384507442875e-05
1,3.482551459386793e-05
2,3.010763713648037e-05
3,2.9822970199526105e-05
4,2.8445906685248612e-05
5,3.011954671824352e-05
6,2.9172891233271344e-05
7,3.0062810394195798e-05
8,3.20731667511384e-05
9,2.9873215500850363e-05
10,3.0315883619798882e-05
11,3.118606902695467e-05
12,2.9963459720036694e-05
13,2.8985263137917524e-05
asof,2024-12-27

key = agg_var_comm

,0
0,2.6519895906276308e-05
1,2.989156542571549e-05
2,2.517368796832793e-05
3,2.488902103137367e-05
4,2.3511957517096176e-05
5,2.518559755009108e-05
6,2.4238942065118908e-05
7,2.512886122604336e-05
8,2.7139217582985963e-05
9,2.4939266332697927e-05
10,2.5381934451646446e-05
11,2.6252119858802227e-05
12,2.5029510551884255e-05
13,2.4051313969765084e-05
asof,2024-12-27

key = agg_var_idio

,0
0,4.933949168152438e-06
asof,2024-12-27


