
key = training_type

ContinuousTraining

key = model_output

dfmVAR

key = var_dfm

key = 1

,0,1,2,3,4
0,-0.09258942661886037,-0.021862157511782186,0.026936617765881944,-0.014653280493157278,0.04546054518766106
1,-0.15584203354866413,-0.03239145441709793,0.06788639172152008,-0.03499673912879058,0.08897655677237899
2,0.14136198605839104,0.011954509744485286,-0.05213029706173923,0.028034485156594586,-0.08013405356356704
3,-0.1049139143586439,-0.0152628952645255,0.03659908188759917,-0.027975411152782848,0.08812939852531304
4,-0.008950456045122897,-0.0028072912670431918,0.0008954825084705418,0.0004654206466259251,0.0020799387917120877

key = 2

,0,1,2,3,4
0,-0.019043863022423592,0.008123324133669532,0.006921147071920198,-0.0014833473162481415,0.023189277996940556
1,0.20292187889103483,0.03141332140464688,-0.07720186429909753,0.04224846376478833,-0.11332264970841945
2,0.06734830511104344,0.011022285731479493,-0.037625383966488284,0.017214820111182017,-0.044493970216690465
3,-0.005391108501995072,0.009768702891889502,0.0024604833798673492,-0.0007216453453067924,0.008383877698326323
4,0.031170001695087993,0.01023516034043399,-0.01793559359502413,0.009115245643228836,-0.020463327400161397

key = 3

,0,1,2,3,4
0,-0.1076396154181869,-0.01778097210310475,0.04815503505698881,-0.025507928697576055,0.060658417535047505
1,-0.0479795468617248,-0.010207644428226205,0.010440614065873224,-0.008753009699834504,0.01883659288010608
2,-0.16248153988311886,-0.0197279332354726,0.0605030275783942,-0.031006974954536703,0.09922820717628048
3,-0.02732526496106685,-0.0038252498440801523,0.009383483622507563,-0.0021509681141183698,0.0038869327866747658
4,-0.044370244293065464,-0.004686737783180555,0.010930903595984804,-0.021445406792776792,0.02860848620152706

key = 4

,0,1,2,3,4
0,0.11657726840052712,0.013059435908286258,-0.0379000995591265,0.024823336055507246,-0.05181483941200282
1,-0.04006012893273548,-0.0003747762680216459,0.017464787912296952,-0.005083283994076577,0.03369609212640475
2,-0.04979656803778773,-0.004133397216404056,0.02615543613999892,-0.015253904246668287,0.03075628270225537
3,0.12420148745308196,0.022782886084608215,-0.047966424763066756,0.017545750638640212,-0.057721637089421345
4,0.07988240406303161,0.0149125048513381,-0.03999879910089556,0.018111254365363004,-0.10113897659773553

key = 5

,0,1,2,3,4
0,0.08935067288160237,0.012452581713979961,-0.04084610513874719,0.01987718601984679,-0.05169398047684331
1,-0.06030246185585987,-0.009537962473413061,0.025334547226359045,-0.016129918586721376,0.026682034905109446
2,0.07910335542302974,0.005985231949949012,-0.02827487644659733,0.012787759864824331,-0.050263939657564254
3,-0.01490046783500109,-0.0054943686984748365,-0.0033826569475519114,0.0030402541761882285,-0.030059407563553447
4,-0.020391324898819813,-0.0009743902312449542,0.007480703665885246,-0.008650896400423219,0.003334783578681499

key = 6

,0,1,2,3,4
0,-0.088714905775039,-0.008412491694469828,0.02659764651732072,-0.01611004752916712,0.05437083688574086
1,0.03959779078858274,0.0027902884388667343,-0.010261984603048488,0.005902053574696564,-0.01037572129709952
2,0.1458666390352893,0.02108199804771557,-0.06105315953005281,0.034605300534356676,-0.08986308130671836
3,-0.06408376724104865,-0.0005196723006942822,0.0329452796787646,-0.014782376936254374,0.0676537478441895
4,0.1214599541853904,0.014152893899702125,-0.04361736255216206,0.0269933968993711,-0.08200104208308394

key = 7

,0,1,2,3,4
0,-0.04315710165978523,-0.003280833556120848,0.020403600376731376,-0.0135404757456581,0.00775172496865727
1,0.11266975919518463,0.016641266535059145,-0.047479558322711946,0.027585333285853216,-0.07752750767660808
2,-0.0953859446810664,-0.01067651052821987,0.028527839848649615,-0.016919209696483542,0.05431505547050822
3,0.05154709459137485,0.0022043174331020966,-0.01706147804214313,0.010180411898661633,-0.036652651607616174
4,-0.10673038909401496,-0.015499546481369456,0.04929047174147766,-0.012870589490027534,0.09649350998179675

key = 8

,0,1,2,3,4
0,0.03643744692919711,-0.0032536452176673007,-0.014202936090585427,0.008460039993344364,-0.04488336327589589
1,-0.10440788067216113,-0.01406678228584322,0.0337252927953437,-0.0221058704024789,0.06686797077733497
2,-0.11267159472969442,-0.013103446918289947,0.051143935331518064,-0.027665729882832613,0.07498605057400662
3,-0.03941671037060984,-0.006394245223182044,0.02068668081912258,-0.00538070076987585,0.048888620254937364
4,0.04074810073787779,0.01869934846823111,-0.0005188703650995337,0.01180802821298233,0.047467253776091

key = 9

,0,1,2,3,4
0,0.1812776354669289,0.025866224521961523,-0.0704359022776909,0.03503593131961522,-0.11184445581559624
1,-0.04656278527475061,-0.0024805477299579986,0.027472404332642652,-0.012406552104066961,0.038443935180930804
2,0.05077877811863613,0.0033427931219292585,-0.01571978595266633,0.013504363009002568,-0.040662473872092306
3,0.012245398921300606,0.010775881920481796,0.006180320891277762,0.007772308389465247,0.044239227096558566
4,-0.06052199210573797,-0.0097623757360702,0.022706965303924874,-0.010346603391850989,0.0541686331825469

key = 10

,0,1,2,3,4
0,-0.13469504378054803,-0.01738802442035459,0.054930496567563034,-0.023493905920126637,0.11041375725118033
1,0.02371065649829815,-0.0036001631707410085,-0.013227005766506966,0.008559825013660302,-0.03799807875597486
2,0.14744144174924487,0.019109279577182666,-0.0636436528005095,0.029284355910471665,-0.09302394083462791
3,0.02068123134315309,-0.004470383600028552,-0.021370960253491098,0.002003817123686902,-0.04456271502005173
4,-0.0491698763293522,-0.0039877102504049,0.021530521667983124,-0.008664745493614285,0.05061113469961928

key = 11

,0,1,2,3,4
