
key = training_type

ContinuousTraining

key = model_output

loadings

key = dfm_loadings

key = 0

,0,1,2,3,4
VCSH,2.221577637775984e-06,3.1878619486569125e-07,-8.067325302798498e-07,3.07083942460421e-07,-6.677261675464425e-07
VCIT,2.468389385919165e-05,5.306507644007654e-06,-8.9334801715252e-06,4.5589423541549806e-06,-1.129363959132431e-05
VCLT,7.660467100309056e-05,1.7967335806482935e-05,-2.321894151962592e-05,1.3100211213979776e-05,-3.6495309370489135e-05
LQD,4.284005616251812e-05,9.972815179071621e-06,-1.3515197917459448e-05,7.368205960979529e-06,-1.996506668527722e-05
HYG,-5.465162996655054e-05,-8.5448467522643e-06,2.0885765690501564e-05,-1.145670509282232e-05,2.8252559244157958e-05
SHYG,-4.82112951698088e-05,-7.934090909974341e-06,1.8629651130519468e-05,-1.0068456940770453e-05,2.4572507383353652e-05
MBB,5.287130619235074e-07,6.349071353468576e-07,-5.416333964866605e-07,6.235822487993103e-08,2.6633095783000585e-07
VMBS,-1.0706156779890649e-06,7.398603800659058e-07,5.927257526368806e-08,-1.1134055988351027e-07,5.454203608836672e-07
AGG,2.9343515563272836e-05,6.359417601705621e-06,-1.0068197939493854e-05,5.333129913485837e-06,-1.3719609521526752e-05
BSV,6.392000512885757e-06,1.2071932889682254e-06,-2.6554684924240263e-06,1.2216929383882224e-06,-2.674046859174653e-06
BIV,3.085916252828505e-05,6.245059623478749e-06,-1.141716514321527e-05,5.920196212656577e-06,-1.4563857658318632e-05
BLV,0.00010593307809951584,2.3000491374423125e-05,-3.4636250707078814e-05,1.9395333214811053e-05,-5.192823816426039e-05
BNDX,8.997115249467734e-06,2.3980826166521358e-06,-3.7084778424350078e-06,1.7340567111163089e-06,-3.849778810636512e-06
EMB,-7.274229093481018e-06,3.253246105472117e-07,2.999223366154281e-06,-1.6933242370578416e-06,4.021634067259382e-06
GLD,2.275642464399263e-06,3.0646694020962257e-06,-4.536008053793854e-06,2.5851065016202045e-06,-4.416727839692332e-06
SLV,8.372649453795568e-05,2.3087540129009205e-05,-4.5191184827360815e-05,2.1359017275293815e-05,-4.1914609033282437e-05
USO,-0.00033834031895974085,-3.9466262291631026e-05,0.00011487461122636366,-6.847826935950516e-05,0.00018234581028000484
PDBC,-0.00021039978222683816,-2.554894161071236e-05,6.726714622159854e-05,-4.204592935819404e-05,0.00011632694758256094
VNQ,-5.611852946922262e-05,-3.571787688641784e-06,2.342777111398872e-05,-1.8861279252726155e-05,5.079370035588039e-05
VNQI,-5.797550002512252e-05,-8.194094143467143e-06,1.9121442634326448e-05,-1.0165794448748125e-05,2.642337154903362e-05

key = 2

,0,1,2,3,4
DIA,-2.757161770744434e-05,9.341445435296632e-06,1.862172552467976e-05,-6.6853485614095926e-06,2.9566871696447905e-05
SPY,5.484233474633439e-06,1.1651670302295805e-05,7.276836197687989e-06,-3.791839514396746e-07,1.3319121764622942e-05
VO,-9.815782404901452e-06,9.077443094353073e-06,1.1751685757318333e-05,-3.3125584846848795e-06,1.9992592533221156e-05
IJH,-2.5740454239930674e-05,1.1025793874337203e-05,2.0291777183036334e-05,-6.9739239386118895e-06,3.259315623723602e-05
QQQ,4.263620427283161e-05,1.186080745493554e-05,-4.711837016613444e-06,6.181785619889854e-06,-5.858556005611085e-06
IWF,4.934107067845668e-05,1.3988087810099963e-05,-7.79436878989969e-06,7.750758925846573e-06,-8.843030926140904e-06
XLY,4.5538219090952144e-05,2.1875886246905723e-05,-6.2462634113957e-06,7.08731492855488e-06,-1.5239226074812459e-06
XLP,-1.1307938727868052e-05,3.1482281022889685e-06,7.848824311777611e-06,-3.0853121282181142e-06,1.157317715192213e-05
XLE,-0.00012940427093764147,1.373141627922558e-05,7.019421889472678e-05,-2.994952310560099e-05,9.979976544426775e-05
XLF,-2.6589136648424417e-05,2.1998220228703443e-05,1.6778950387495537e-05,-4.671953947828512e-06,3.7615887484657824e-05
XLV,-5.286427525343535e-05,-9.917323295812124e-06,2.0850511615623556e-05,-9.932165126007974e-06,2.7955375437219744e-05
XLI,-6.952522741399583e-06,1.611908894305423e-05,1.2283120183819428e-05,-2.6583937539015644e-06,2.305452349901593e-05
XLB,-0.00010559339991089241,1.8248872957263209e-06,4.6091887506240994e-05,-2.0556368669539447e-05,7.076714205270836e-05
XLRE,-3.854788424958663e-05,-9.974184425896775e-06,2.006540083422941e-05,-1.1400023873732404e-05,1.7173771606359657e-05
XLK,3.70701781158093e-05,1.2351906679593394e-05,-4.3786061391387304e-07,4.50470340376219e-06,-1.3389016206903282e-06
VOX,1.7423428611221993e-06,1.0747659646380129e-05,1.2767710828915602e-05,-1.9211809456623016e-06,1.8281388896564e-05
XLU,-9.272965448493217e-06,6.843918159515894e-06,6.585209790595908e-07,-1.018998736648484e-06,7.807178624284756e-06
GDX,-0.00028865454052852516,-3.674277740196154e-05,0.00011802120197386069,-5.7900502219067993e-05,0.00015483127467858163
GUNR,-0.00014040049562991617,2.1152944784017528e-06,6.178587929387043e-05,-2.7383955409232846e-05,9.390786659898431e-05
IXUS,-5.885948322814132e-06,7.270752047138246e-06,7.491373890933844e-06,-8.890862330861155e-07,1.6828477503038736e-05
IEFA,-1.0216315859268123e-05,5.412524362537489e-06,9.330375462401249e-06,-2.0057221016815724e-06,1.802339151211346e-05
EFA,-8.785308998248703e-06,5.561514326847755e-06,8.135818536147517e-06,-1.5518455597796255e-06,1.6808808045383415e-05
VGK,-2.5232032513838147e-05,3.6990590120528975e-06,1.7916066688494935e-05,-5.935856679032813e-06,2.724509540588738e-05
VWO,5.58930317388497e-05,1.7030312654732665e-05,-1.801721986130959e-05,1.2300671824221982e-05,-1.355648403357305e-05
IEMG,3.1220137096611694e-05,1.3690619520806232e-05,-7.83793994764746e-06,7.335759825948062e-06,-4.7227873164315465e-07
SHV,1.7967119847259353e-07,4.290632196213045e-08,-8.872612975074534e-08,4.7765764377146525e-08,-8.276637408411864e-08
BIL,2.169349935347136e-09,-2.358460803881522e-08,-2.1508503949970894e-08,3.9050396247081104e-10,-4.4572995736158975e-08
GBIL,9.055603491838354e-07,1.8372558148793968e-07,-4.089580943475515e-07,2.014611602678309e-07,-4.4167492225826005e-07
SHY,-2.2554637020476313e-06,-3.005480834307526e-07,8.107879685062229e-07,-4.542480206350667e-07,1.0526660072106886e-06
