
key = model_output

dfm_loadings_collect

key = dfm_loadings_collect

key = 13

key = 0

,0,1,2,3,4
BIV,4.0144640993452585e-05,-0.00011490988899285777,4.017475596440768e-05,4.043374781406926e-06,2.492142711858237e-05
BLV,7.684761592457322e-05,-0.00022508067143314843,7.84821306034228e-05,7.838989335883521e-06,4.962827389833909e-05
BNDX,1.9147459955048483e-05,-5.486723754440036e-05,1.9242957008490165e-05,2.2820850763879248e-06,1.2328847990358625e-05
EMB,5.455299993119288e-05,-0.00015120786741355618,5.320778495741138e-05,5.6082037796892e-06,3.270395742358168e-05
GLD,3.729024785605241e-05,-0.00010123278207533866,3.5293995345955724e-05,4.3889189476854706e-06,2.536144562425763e-05
SLV,2.9222213024096866e-05,-7.708063964011298e-05,2.6146012880749158e-05,1.8564633119783196e-06,1.727895546971111e-05
USO,-6.687802262372179e-05,0.00022142773099758766,-7.799104822408936e-05,-6.7867704315923835e-06,-5.780122400461393e-05
PDBC,-2.082880044040465e-05,7.852043508410492e-05,-2.7962170800902174e-05,-1.9193616447645895e-06,-2.222239045140757e-05
VNQ,8.299398425381609e-05,-0.00023838318765750935,8.629778104288014e-05,8.441947999041002e-06,5.6377519076650124e-05
VNQI,7.080983680891675e-05,-0.0001939733018575532,6.831577339151766e-05,8.032997103652939e-06,4.3891007367836014e-05

key = 1

,0,1,2,3,4
DIA,-1.8961956076175098e-05,5.913575325787703e-05,-1.9979403411259638e-05,-4.767556108512894e-06,-9.6740718502018e-06
SPY,-2.5538191811662702e-05,6.770877014223873e-05,-2.5576289592605745e-05,-6.139406313593341e-06,-1.4091929729638149e-05
VO,-1.3556261119750236e-05,3.598862528472608e-05,-1.1610222736957707e-05,-5.572170459134e-06,-4.893213478822562e-06
IJH,-1.6516678569177525e-05,4.489810454577962e-05,-1.3492446877490083e-05,-6.718295866987227e-06,-5.7074306749134715e-06
QQQ,-3.229184605864473e-05,8.165352812041896e-05,-3.297772719981369e-05,-8.480822325698619e-06,-1.9608267916608816e-05
IWF,-3.941943016425445e-05,0.00010110200785546874,-3.99449683683327e-05,-8.826179863824325e-06,-2.3593303855126775e-05
XLY,-1.4401012659300793e-05,4.377955648599391e-05,-1.788834105617502e-05,-6.183169974025962e-06,-1.1176002626201666e-05
XLP,-2.9650108351239004e-05,9.850559576554159e-05,-3.1236590747739304e-05,-3.984890351494474e-06,-1.721071666175111e-05
XLE,7.153212708834837e-06,-2.9140932516932097e-05,1.2928952808195653e-05,2.6940142787327634e-06,6.830211250526636e-06
XLF,6.292170205657518e-06,-1.698352498759953e-05,7.4955216929141315e-06,-1.4511505542124066e-06,7.67741603757209e-06
XLV,-4.054156176705398e-05,0.00012646430356756986,-4.360527489492047e-05,-6.479672242985306e-06,-2.298185950446465e-05
XLI,-1.8832534730346115e-05,5.461377052684351e-05,-1.7315131683065195e-05,-5.302958854797949e-06,-7.954003463152498e-06
XLB,-1.561397832593773e-05,5.524323281034133e-05,-1.4813927898235377e-05,-4.441699444686784e-06,-6.47427548738853e-06
XLRE,-1.5273819861917723e-05,3.92561195345404e-05,-1.4145515694492484e-05,-6.530958192831047e-06,-5.1413374526936236e-06
XLK,-4.60324617661349e-05,0.00011265088343981886,-4.5240622520274255e-05,-1.1013146881322168e-05,-2.624728743859199e-05
VOX,-2.122900656783546e-05,5.695820918528778e-05,-2.049736856024892e-05,-5.194693215423404e-06,-1.1938118614641626e-05
XLU,-1.610515229212886e-05,4.753975548327856e-05,-1.6660598784101685e-05,-2.1170797745610316e-06,-7.813042598427706e-06
GDX,-7.780727393173603e-05,0.0002216973278622487,-7.608649205545517e-05,-1.1704825935378779e-05,-4.4401566281734365e-05
GUNR,-9.53334986042813e-06,2.786020505628129e-05,-7.229242329102091e-06,-9.59792247571512e-07,-5.128407764093599e-06
IXUS,-2.6763072903997707e-05,7.078454389140134e-05,-2.36664813132943e-05,-5.6984611224090305e-06,-1.3660812500131907e-05
