
key = model_output

diff_score

key = diff_score_dict

key = diff_fit_variance_ts

,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-15,2019-02-22,2019-03-01,2019-03-08,2019-03-15,2019-03-22,2019-03-29,2019-04-05,2019-04-12,2019-04-19,2019-04-26,2019-05-03,2019-05-10,2019-05-17,2019-05-24,2019-05-31,2019-06-07,2019-06-14,2019-06-21
XLV,-0.03152347346499958,-0.04197738686996855,-0.041230795100375556,-0.04327932731335975,-0.05674816719774998,-0.07004553408529762,-0.07771178044814642,-0.07432065002274917,-0.09014240791276701,-0.10482912510588546,-0.076168837654752,-0.07527343917589331,-0.07660543026961934,-0.09387924705578243,-0.090390813712611,-0.08463524360212749,-0.0569154010170836,-0.05147737801943431,-0.06673174551637827,-0.06374696802496768,-0.07628339638069337,-0.0820737510189308,-0.06184283525614681,-0.057597469984727624,-0.06871297328929081,-0.059328560413292146
XLI,-0.02686296445098419,-0.029648605850023296,-0.018361143182973497,-0.02216217873551933,-0.041168456467046075,-0.050549978900711015,-0.05659617055759035,-0.05312188143434601,-0.07137267480869529,-0.08788571653258961,-0.07955053058015336,-0.08208536323688631,-0.08802827011225842,-0.09313879539312479,-0.093712042595666,-0.11191181770328924,-0.12573368361079645,-0.13883461357928426,-0.15387592169526246,-0.14300378648382203,-0.15046524694487287,-0.16114912723951616,-0.1427312592200973,-0.12228730029952165,-0.13119604000974522,-0.13357306274236375
XLB,-0.022782798933494053,-0.02441277856057282,-0.021337827273267086,-0.023669134133657326,-0.042056639284097266,-0.057027598422062654,-0.06657477277661818,-0.061642141530619296,-0.07254246997676876,-0.07708957865149493,-0.07043991359630153,-0.08141468227918285,-0.0882723942306909,-0.09871141663592906,-0.08439839433333772,-0.10077585373037155,-0.11622847155446454,-0.13010103447968807,-0.14380850595431446,-0.13684622731413898,-0.15022682884015046,-0.15697329702986837,-0.13647039558041507,-0.04288336727603705,-0.05263590773381383,-0.05855659162426441
XLRE,-0.02031855801908139,-0.01675905059286176,-0.005262170205798501,-0.00346372627965003,-0.013816534222270348,-0.00968516594373526,-0.015656462291235986,-0.02838583389343946,-0.03999357127707302,-0.04414996881907995,-0.03880137464082124,-0.0451636129529059,-0.03495800360969964,-0.048951832304928736,-0.05188413350749923,-0.06646982710310322,-0.06636314334837469,-0.07415033453608733,-0.08777366445577323,-0.09316065823055758,-0.10539637940454843,-0.11408695446268094,-0.10015022738364124,-0.09635200880667752,-0.09827764385972496,-0.08515307015526229
XLK,-0.0327627410834661,-0.04127999861223727,-0.0349485923275498,-0.030196207526626277,-0.04536868634218148,-0.056766242850866094,-0.06314305684334513,-0.06825518013408968,-0.08131791848426939,-0.09357874268372127,-0.08286120312420482,-0.06760594315277131,-0.06937314163473982,-0.08728603299556946,-0.07933599077630411,-0.0935480059437985,-0.10870861719566588,-0.12638040809591755,-0.14389643304406685,-0.12139869741057736,-0.1300521467971623,-0.13166237842786827,-0.10770286948606766,-0.08218871097957939,-0.08940687632573452,-0.08642620123228326
VOX,-0.014311717284389404,-0.0010596929966647857,0.006354941635856036,0.008464833151653126,-0.007694637811264171,-0.011885118720891827,-0.024959463090491078,-0.02920674196329662,-0.04680899844246371,-0.06059133303658842,-0.053557871098394653,-0.059376071769052685,-0.06432569274634874,-0.07847203585202937,-0.06336640539267718,-0.07251657401278347,-0.08976158717986119,-0.09567003558384307,-0.107091056057836,-0.10517510696598371,-0.11776281759207133,-0.126904851347769,-0.10203647420838652,-0.10402826257834354,-0.11248189607274493,-0.1057296095693043
XLU,-0.015419430697478921,-0.01771463563158122,-0.028316894061945437,-0.02937271656099544,-0.04469997093161199,-0.03884221459292608,-0.04107985832416722,-0.05573416229248866,-0.040383584880114225,-0.04918468453658956,-0.054785899731536344,-0.05792501080313806,-0.059235014140324595,-0.06821850822094859,-0.07320527119028077,-0.08700510370824244,-0.10358887300436093,-0.10673327715969542,-0.12151002206470658,-0.12545302825075755,-0.1380062418253125,-0.14137838118032808,-0.11877542139043358,-0.09048489348931846,-0.09430039636076776,-0.0841361067792129
GDX,-0.027375630986892392,-0.022602245207056944,-0.03370359568741455,-0.027119833692604886,-0.01442086745227487,0.041725528584192026,0.0400316369520088,0.023354151910163316,0.016764459394453264,0.043191447843850164,0.04394116599199632,0.02950478721797988,0.03544895956914835,0.023890378781134407,0.011849307615027591,-0.0035273732547177073,0.015276821037922633,0.01618988846103272,0.04859045482443705,0.034272991242387384,0.036489601173931456,0.02385969925989595,0.05536923415856026,0.09453978230439225,0.0929489830826816,0.13781618683187932
GUNR,-0.02634818205402738,-0.028610947466849987,-0.023799791858826764,-0.020914217261884745,-0.03836161865316773,-0.04017154975348679,-0.04546598324953085,-0.05371424486298691,-0.06717432114992196,-0.07860352741810447,-0.06834136398187217,-0.07305278634781484,-0.08052604818381334,-0.09415860696596738,-0.09676283472322089,-0.11268546958450112,-0.12921635803063958,-0.1372250375085012,-0.15273158050831726,-0.15014251545471963,-0.15954525622234877,-0.16978816003919237,-0.1547392544787874,-0.1307970061594364,-0.12868557590796265,-0.1382001697975823
IXUS,-0.024222478561776888,-0.028591047516626292,-0.016183418171363966,-0.010123586897528151,-0.028288697465972113,-0.04148411754606806,-0.052272578069222725,-0.05440005262694948,-0.06992789176052386,-0.08262247978619387,-0.06716785337921825,-0.0641285595268736,-0.06465733302337397,-0.08079576379238118,-0.07375835641739417,-0.08980450441127825,-0.10742576983503728,-0.12206223658629707,-0.1388226323964894,-0.12357188961263868,-0.13259486591390862,-0.14231259385837333,-0.11341417722189057,-0.09779336641089363,-0.10545163071729603,-0.09846805832678397
