
key = training_type

ContinuousTraining

key = model_output

forecast

key = vts_forecast

,2021-12-31,1,2,3,4,5,6,7,8,9,10,11,12,13
DIA,,0.007962054620879117,0.006425753345013172,0.007227683283471664,0.01747274391352853,0.01499706560798092,0.025536120329077504,0.02070936802249662,0.02920635282193728,0.03005793132827715,0.03736340164112697,0.030148344085045152,0.04055525004837155,0.05031099550289185
SPY,,0.001398192241654773,0.0016946547942001192,0.009982159429414703,0.019253364388610382,0.030755806886386173,0.04638285209045974,0.028129396175844597,0.04295786736236611,0.04404826906954236,0.04761908173412212,0.04807722808874705,0.0522787592793916,0.052952632764917205
VO,,-0.0006632131008693755,0.0016437803218949652,0.0055365804517977756,0.01771338356210264,0.01223534726640977,0.019772233741848687,0.018614216892836266,0.036342362671432274,0.03507069938082544,0.03709599694579722,0.029375222250921127,0.043613725202319056,0.057412725538417024
IJH,,0.005894422198281689,0.006465288014447202,0.0020648671645111414,0.01415377626870654,0.013411676615287438,0.027285680994086736,0.020180711981873125,0.033723781494189385,0.032312306923111066,0.04122955029735895,0.03345389179049747,0.04376677888469199,0.054270904105904495
QQQ,,0.013941576354910286,0.03815759470814929,0.048483658859645035,0.057372254637914476,0.06667369023594406,0.05854638733963104,0.031072678988309215,0.04011790377354692,0.016216256676977337,0.03553884151321274,0.045122435651228296,0.06377166615043144,0.09846016281224967
IWF,,0.020955990738480305,0.03234603087214623,0.03760906425273153,0.04882828393153374,0.04245939164849097,0.041780952494326326,0.024131773524303173,0.029877965984435886,0.026239509809364805,0.044565716415514114,0.05101907193436411,0.07272466485257284,0.08918878007991789
XLY,,0.0033665702829459637,-0.015967103563348087,-0.0006595998192807061,0.010943287787400495,0.0056593681777373965,0.04439333631969686,0.03172786815137784,0.040081269735378414,0.05844860897673335,0.06384553511122916,0.048996521247682376,0.07345293272776067,0.07007339722383653
XLP,,0.0027550034414373955,0.005869922769239543,0.0052383014348229215,0.008461890705717335,0.014801333264626005,0.017884241456721017,0.01607574277082708,0.023909772442496403,0.022094164318144156,0.028618314821913043,0.027386538661093442,0.029601648532082924,0.03794523937633633
XLE,,0.014027899762711434,0.011911477061722455,0.006848193012908069,0.033546128293578656,0.042404672578636754,0.060865441783454356,0.044829100330538954,0.06311658067014045,0.06800140024930786,0.08423985283152574,0.07592668045191692,0.09184865889266476,0.10915774443447038
XLF,,0.014126934703218843,0.011241180303988097,0.009116685190915672,0.023359655655151357,0.03162923439136135,0.04585825578616558,0.033559214073181826,0.04459911576743122,0.04407407793206901,0.06037239303763491,0.05392285707427291,0.06649422415868188,0.07562531083051588
XLV,,0.002199117937499247,0.003015773612696924,0.003589286441007596,0.0063819455378947895,0.010288582571347446,0.016171286353889276,0.014916136045775637,0.020546343241728788,0.021970576637059914,0.02915604288498779,0.02930070457439042,0.035009108643718,0.04296918035980229
