
key = model_output

indivVar

key = indiv_variance

,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
DIA,0.0007645802403902083,0.000878970895195823,0.0008904101683746018,0.000857368797162026,0.0008930583568587924,0.0009503147330202144,0.0009223321964251289,0.0009438561673819301,0.0009538753636183256,0.001002490814566695,0.0010144351518024427,0.0009617669623036868,0.0010142071911182404,0.0011140468743663058,2022-12-30
SPY,0.0010175821247772024,0.0011707589357059403,0.001156303981660735,0.0011642105317037528,0.0011972385621789525,0.0012215662367255726,0.0012221884363677496,0.001315653670094668,0.0013422983529960296,0.0013168565692622675,0.0013425861332964056,0.001426230491358746,0.0015671702981417898,0.0015363511908060051,2022-12-30
VO,0.0011910693205425052,0.0013375306465786478,0.0013284744609875245,0.0013231109422973837,0.0013336336186178226,0.0013687150780615797,0.0013830009400735822,0.0014156269678250618,0.0014069183062185824,0.0014101649661285316,0.0013926496359162029,0.0014323348253102587,0.0015068951928977259,0.001497984237226076,2022-12-30
IJH,0.0010708185831053184,0.0011847637548184733,0.0011840484730691742,0.001171573528642901,0.001171057826033172,0.0012063667035407816,0.0012112837804067543,0.0012369664848684292,0.0012179838861156875,0.0012058278285730882,0.0011910124338984753,0.001217892973116203,0.0012728060829724313,0.0012709897668467846,2022-12-30
QQQ,0.0015595010715127155,0.00169051539972238,0.0017226045729364227,0.0018061280631816647,0.0016856512165778757,0.0018549970987644785,0.0017664060400597024,0.002101511932390122,0.002059620588767363,0.001986491834079632,0.0022541519841059684,0.0020374039122112602,0.002597573971892838,0.002397907462385807,2022-12-30
IWF,0.001482603661525245,0.0016392543535383723,0.0015830095674846038,0.0015964274786430853,0.0016184188472256945,0.0016885652795872582,0.0016958610737596116,0.0019402152380472272,0.0018889530146532075,0.0019510660579319184,0.0019168482863668548,0.002051816834175037,0.0021116309252111397,0.002104220432879082,2022-12-30
XLY,0.0018973741527820091,0.002203166695488617,0.0020535930043460012,0.002067993475284961,0.002031369656619416,0.00201046912126441,0.002027171268642926,0.0020504507015588662,0.002057216787913151,0.002095273433993251,0.002099987619814669,0.0021896177784403326,0.002301918097233512,0.0023133471382777316,2022-12-30
XLP,0.0007446354293503203,0.0008256783095555719,0.0008302724589004807,0.0008268175867589753,0.0008236812267007319,0.0008251852970667267,0.0008450168193524798,0.0008561238716526137,0.0008502661366786108,0.0008435635882145095,0.0008340905611746001,0.0008407079352518158,0.0008750700277704302,0.0008805884957487698,2022-12-30
XLE,0.0031104515581478983,0.0034931444083843516,0.0034484308195013207,0.0032704252990733815,0.0034035637203052947,0.00340535357111717,0.0036805348377184,0.003787089304179676,0.003733317554547063,0.003937737350917972,0.00425892399703759,0.004235721304881976,0.004402706404460767,0.004370999729367362,2022-12-30
XLF,0.0012831891426222618,0.001455913503735569,0.0014372052242263033,0.0013468147968834013,0.0013566958257231964,0.0013296615675910568,0.0013748489618275765,0.0014222279641607526,0.0014540099858914818,0.0015042447351094421,0.0015570047302690135,0.0016360778204296106,0.001700455328976812,0.0016930048907168346,2022-12-30
