
key = model_output

aggVar

key = agg_variance

,0
0,0.0006417847967070713
1,0.0007167959611850388
2,0.0007032899361850745
3,0.000712835941832086
4,0.0007101851636333394
5,0.0007138997380234829
6,0.0007398869895596163
7,0.0007569895005396579
8,0.0007461161340901343
9,0.000778565002172655
10,0.0007973867792817372
11,0.0008009926825251164
12,0.0008513452862720438
13,0.0008469972825395526
asof,2022-12-30


