
key = model_output

varcov

key = loadings_mat

,0,1,2,3,4,5,6,7,8,9
DIA,0.00016804384681374615,0.00217487595124475,0.0006320681594603289,-0.0013045392866460977,-0.0013210865640183628,0.00031660414558982205,0.0010115496386897272,-0.0005924521604829992,0.000862508687288729,-0.001142720347246415
SPY,0.0003768267012128524,0.002361833184513681,0.0009520469015322752,-0.0016243151454829105,-0.0011983247999626586,0.00033618239135088765,0.0013653243203434022,-0.0008482688988620978,0.001213731636879304,-0.001389207216952731
VO,0.0004959778520823148,0.002581191541273291,0.0011503617839669195,-0.001939753657351302,-0.0015160303821926513,5.8148004057826774e-05,0.0015988183525637578,-0.0009384694087474326,0.0013532144740594071,-0.0012194659680907847
IJH,0.0002520209923611107,0.0025045045721487002,0.000985025243037636,-0.0018030641599959877,-0.0018034589303504236,-0.0002255283989613,0.0016802892468267662,-0.0006177651035668099,0.00118653164021999,-0.0008860634237837443
QQQ,0.0005143075170607646,0.002824532346740752,0.001507724599302492,-0.0019550193329105486,-0.0007707547508537116,0.0007084135480727965,0.0015739824303831961,-0.0010291963277393006,0.001805370868785316,-0.0016046249711712485
IWF,0.0005134093553420217,0.00271207855248164,0.001466978206158729,-0.0019538045548112616,-0.0009798627756288892,0.000476656703825423,0.0015399217099661714,-0.001027324892158346,0.001710782928372044,-0.0017337004244981277
XLY,0.0006646383062797844,0.002660318037208798,0.0012973139768759684,-0.0020096451091321066,-0.0014969515919895475,0.0005138701139583704,0.0014333072283795765,-0.0009185361023275731,0.0018067355278956285,-0.0014176048196112502
XLP,0.0005280865884790713,0.0017126845737126012,0.0004417759978309885,-0.0006779043825653587,-0.0013193841472339308,0.0003049888879740169,0.00027988786006787525,-0.0007001126837915286,0.00035134928417720454,-0.001229174049978158
XLE,-0.001091712320323635,0.0016499459884677975,-0.00033631560250290137,-0.0006206182072259632,-0.0022204929979261715,-0.0013857732021570319,0.0025247586387473022,-0.0005286689919668616,-8.250833680605967e-06,-0.00028147107159342963
XLF,0.00017019014837308633,0.002155261602612731,0.0005944219825504904,-0.0018459893152087531,-0.0015102844843457898,0.0003204336030352949,0.001327329489638909,-0.0007227801827037551,0.0008603781709010782,-0.0012095279442533868
XLV,0.00023137469916749214,0.0014231776489587774,0.00045817967179621037,-0.0012739448949177761,-0.0011693057991039187,0.00022684301134307013,0.0009174701807723268,-0.0008438150390642687,0.0010813789843151077,-0.001573772022509992
XLI,0.00036461955434367345,0.002646702473876214,0.0005688549471793375,-0.0014981349791736121,-0.001617170671001312,9.654750287266648e-05,0.0014787066586422872,-0.0009288062939176727,0.00045506644764016437,-0.0007586675712748383
XLB,0.00026948992845676056,0.002875540479612839,0.0011611668297215212,-0.0017199000759779998,-0.0012462672825594983,-0.00022825062281169002,0.0013746839143845195,-0.0009161704821789816,0.0012047262795633702,-0.00046043686887970846
XLRE,0.000985861696360482,0.00272686404585267,0.0004721239853448953,-0.002008060189004975,-0.0010392457270975,-0.0005018107002695679,0.0010273221544317343,-0.001064761378777063,0.0008605690489088303,-0.001252042123538753
XLK,0.0004089845370817533,0.0030311845636792124,0.0015400181714449663,-0.0020639847877313797,-0.0008264312312162874,0.0006799235286937227,0.0015348939631518088,-0.0011421781463548848,0.0018718736936944452,-0.0015711500301625603
VOX,0.0005719991110174333,0.002271202239886097,0.0014607964818885838,-0.0019111655616477316,-0.0005643688363983314,0.0009538831439320699,0.0014593566640823952,-0.00048495555693428034,0.001492283619969741,-0.0020025580265479134
XLU,0.0011294581432981633,0.002003300615545275,1.818485039671531e-05,-0.0007455334660462358,-0.0014852914388995334,-0.00038346540980232737,0.0013471278297084695,-0.0004320754614485575,-0.00023054933969806927,-0.0009052448490300638
GDX,0.00034571358127307193,0.002364032500396662,0.00046804014080681426,-0.002168066927910466,0.0007655097078682381,0.0003360322331637126,0.0016278491737190587,-0.0006864843309332137,0.0008704830878927851,0.0003839847452498429
GUNR,-2.032606881875416e-05,0.002141183670539936,0.0005834856715177808,-0.0006311114744476027,-0.0010360767797675645,-0.0007125943090440603,0.001798249954136398,-0.0006328030773503458,0.0002664708481386803,-1.633547354245756e-05
IXUS,0.0006395014815844206,0.0021328413324473283,0.0007365875846770104,-0.0010452645929463996,-0.0007703629544758635,-0.00033915420235404345,0.0012797176992857642,-0.0006805399710332083,0.0013108135660549526,-0.0007808349506491436
IEFA,0.00061108462315746,0.002305673516747325,0.0007851827960672422,-0.0014434656656697584,-0.0009993469247373957,-0.0002938026023151085,0.0013938204502482398,-0.0007837597572978543,0.0013806704198174203,-0.0008753768213236132
EFA,0.0005784746736507993,0.002277135855367103,0.000744251688043341,-0.0014167316015268182,-0.000978739118043366,-0.00026537014589978923,0.0013549134648955282,-0.0008072161758747203,0.0013606653076032361,-0.0008804582054203675
VGK,0.0005836566380482231,0.0025058372270187514,0.0007204501864814041,-0.0017119395583396829,-0.0011367678788109785,-0.00011468221341776116,0.001485651258084228,-0.0007828679244934908,0.001559518611471514,-0.00110636521575534
VWO,0.0008517519182317953,0.0015803597927813832,0.0008003914439556136,9.922597633337091e-05,-0.00013773681653544672,-0.0003104963779520531,0.0007322733755324009,-0.0005280771790296102,0.0011775935309825997,-0.0006861588913851226
IEMG,0.0008450668994355231,0.00174076518032901,0.0007569813539802014,-6.01380046146369e-05,-0.0001660126395147535,-0.0003490056980188742,0.000899905358768681,-0.0006082268323740536,0.0013047489604407659,-0.0006589376438910433
SHV,2.783797670050037e-05,6.921029383982197e-06,9.693128523117784e-06,-7.9301865258902e-06,-1.127892033097231e-05,-1.3746998489270086e-05,2.0491947928923708e-05,-1.3468052071829547e-05,1.1461569303327044e-05,4.531322640046251e-06
BIL,2.0612509195462205e-05,-5.531397588843352e-06,-5.906921159690236e-07,4.159589272242576e-06,-2.1224324507953305e-06,-3.026843925903454e-06,5.686162666333721e-06,-2.2511641135434765e-06,8.224356269907379e-07,7.14204408874859e-06
GBIL,2.8008299671672903e-05,1.7153420281482351e-06,-7.725454268438547e-07,-1.4575999774912022e-05,-2.934729442118902e-06,-1.5643753582937716e-05,1.913022556878443e-05,-1.2178332576059571e-05,5.771205806155039e-06,5.33762142320481e-06
SHY,0.00011015921331587594,0.0001049260035829528,-2.667038116636907e-05,-0.00019712696156702972,-2.160633055344032e-05,-0.00012610789940112788,7.959569763272653e-05,-0.00023603845377751108,0.0001188970278406255,-8.494838846891554e-05
IEI,0.0002641678365655404,0.00035996507937457263,-0.00011950109110603711,-0.0005119419741831114,-8.572056917597627e-05,-0.00041279421078111063,0.00023218474202428641,-0.00048453977390628593,0.0002803842278345423,-0.0001923254525031646
IEF,0.0004012528194548531,0.0006465591033642904,-0.00018587715288317797,-0.0008218915420598797,-0.0001398607178263375,-0.0007265277259993977,0.0003190089238725196,-0.0005683567424123637,0.0004182138378113725,-0.00017592184105477056
VGIT,0.00029334140101172255,0.00041841458141898336,-0.00014091691548686014,-0.0005566941003431353,-8.325483661745678e-05,-0.00048431295745835726,0.0002503728069150064,-0.0004897504720198575,0.0003168641767518824,-0.00018833792469550648
TLT,0.0010513552607601276,0.0012235754882581043,-0.0003323689131653696,-0.0010580452124256923,-0.0002155045884675203,-0.001292896285301345,0.00011734836991882135,-0.0005444546966494254,0.0006964131734027385,9.737124369373799e-05
GOVT,0.00037179503289666127,0.000440156102444485,-0.00016129201119894444,-0.0005297097617539702,-0.00010156255082876854,-0.0005075386012102226,0.00016959243442138343,-0.0003978096497922156,0.0003253439814318409,-0.00010028929392644044
MUB,0.0003290793702889868,0.0004550670485932991,1.2037698206585116e-06,-0.00030693674499288667,-0.00016251757094099824,-0.000117661582066152,0.0006373207763806121,-0.0003293924659896758,0.0002780992223839905,2.8168902668501214e-05
SHM,0.0001747525392736301,0.00024521847411447566,-1.0105780946803865e-06,-0.00015567309272582406,-4.861250836426455e-05,-1.0748520307312922e-05,0.0004039747096126037,-0.00011994093417718005,0.00013282459347159186,-1.0619810819736086e-05
VCSH,0.00024144149781056288,0.0003414582880680266,5.366423303284838e-05,-0.0003198721312307009,-0.00010698249569579095,-0.00020181815388176124,0.00023667859725507047,-0.00032214575837726997,0.00024914380916069056,-0.00011349637148535322
VCIT,0.0005009496859575582,0.0008979117253038817,7.033470982388731e-05,-0.0008571105603543446,-0.0002364554109185736,-0.0004892845539494793,0.0004196695809495437,-0.0005072932522915055,0.0005341882322837548,-0.00013117068059951994
VCLT,0.0009921564659494816,0.0017577968165424275,0.00030744399639186666,-0.00120163004308701,-0.00046330194176368955,-0.0006786983277151777,0.00048243731627302936,-0.0006361492189120298,0.0008865156007031173,9.478128323791427e-06
LQD,0.0006182107693079577,0.0012164140842747116,0.00019064566040751348,-0.0009901629862663285,-0.00034669777735401973,-0.0005240924039817267,0.00044520021000245025,-0.0004897502175161367,0.0006487651238868827,-8.189587980180383e-05
HYG,0.0002644365334040214,0.0011116957273623932,0.0006314946264802624,-0.0011945093372862177,-0.0005699302056355364,0.0001302876529530417,0.0009016110309162645,-0.0005536225640385379,0.0008172621340146452,-0.00033688002922873766
SHYG,0.00013182118174463316,0.000778266480516635,0.00043302428131854133,-0.0008402865435653953,-0.0003684642766659966,0.0001704424909463448,0.0006316752478556977,-0.00040759249773735564,0.0005079455185060666,-0.0002250175200202239
MBB,0.00045233444971245427,0.0007180434268568484,-0.00012019917217790428,-0.0007492657676308228,-0.000246219245658524,-0.0005707120851209675,0.00032733913760591836,-0.0004954184389222427,0.000424299960403173,-0.00015617538906609785
VMBS,0.0004690792309955118,0.0007056664687282966,-0.00011988457921184803,-0.0007639511089424474,-0.00020116793234986117,-0.0005337005561152999,0.0003138583581166531,-0.0005044080038232254,0.0004200030088159454,-0.0001428674701993149
AGG,0.0004262235836559183,0.0006521152919555703,-5.7308592978225286e-05,-0.0006769163572727042,-0.000166075633943533,-0.0004903668074088868,0.0002727195317721201,-0.00042555433508971235,0.0003852597326199414,-9.845787085556923e-05
BSV,0.0001798641292017,0.000230445298751051,-5.843320014378253e-06,-0.0002946318513477156,-6.236289421882668e-05,-0.00021827112396705878,0.00015717666272763647,-0.00030503554246623057,0.0001742298537922583,-9.730948158015032e-05
BIV,0.00040957732864042184,0.0006740137693420828,-8.108889065041459e-05,-0.000718293635415407,-0.00016984095974969138,-0.0005443748283353384,0.0003371712857325997,-0.0005194707836225522,0.0004489081146942223,-0.00016702792514046465
BLV,0.0009865819040277893,0.0014864320092713088,-2.841209641222198e-06,-0.0011599112252833092,-0.0003145754077348442,-0.0010156517562297828,0.000360071055958667,-0.00057336561793115,0.0007728799271185677,6.194556653364956e-05
BNDX,0.0001834403105670932,0.0005895820543490284,-0.00019189796122592376,-0.0004831897412661755,-0.00011749847114622955,-0.0002629633162492112,0.00030878525713127336,-0.0003227798114873649,0.00017373419458733663,-5.688960687559364e-05
EMB,0.0007825557497733918,0.0014245182023432052,0.00036702564228508513,-0.0008301196059884512,-0.0004413420454354976,-0.00046224391822902893,0.00085797519103679,-0.0004834421749526744,0.0005733391525980579,-0.0005867018023272327
GLD,0.0003072773122041173,0.0007679979434438488,-8.095064333477964e-05,-0.00037309996422639225,0.00020682919888099195,-6.471586016836066e-05,0.0007426299814496559,-0.0006967683726375466,-0.00019871175739055936,0.0003636710482618592
SLV,0.0005914465849837226,0.0012614868299387321,0.00019873155008982342,-0.0007560363602761087,-0.0004528881339876923,-5.526606884327054e-05,0.001210737615579178,-0.0007199656930453386,0.0007656636926810612,0.0009075857853203706
USO,-0.0012887097495024435,0.0005502464956629923,-0.0007229876045951355,-0.00042040806942287895,-0.0026602173345304948,-0.0016291403116790821,0.0008119919449320727,-0.001363370676746028,-0.000297629216412934,-0.0005595779945935595
PDBC,-0.0007952720958249311,0.0007924689328269832,-0.00027751937800228745,-0.00028565729928204265,-0.0014578252273301244,-0.001005208772780081,0.0003779347326277893,-0.00047542501857757657,-0.0006334705041151201,0.0004163300694676498
VNQ,0.0008705279096027448,0.002685863471681556,0.0005108099832210677,-0.0020224449653460223,-0.0011787434360003221,-0.0005116407005760854,0.0010853600637408677,-0.00082483206772469,0.000879435993649528,-0.0011583171289959182
VNQI,0.0008837617298987273,0.0019612760185006694,0.0006433813724796559,-0.001286887294145425,-0.00048520199222839617,-0.0006167773817148878,0.0011617029942870046,-0.0007213230891051918,0.0007666271922689295,-0.000615249011677632

key = dfs_variance

,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
0,56.749485376927005,62.87501158069909,64.68885240709912,66.04644443198174,66.68498164567112,68.60481083594325,71.47582452185615,71.80751794180524,74.91771257319277,82.80380981587115,89.49218675020023,91.75030480868215,91.51955303970328,94.47566229104025,2022-12-30
1,49.868965386931706,58.709413330650335,61.38100641130954,61.42588390538728,59.51051912381722,63.67669559912852,71.69118627238355,74.6574013173975,72.12961896580389,68.93572004688468,67.22609305394012,71.02587488486557,82.16702148800428,84.04707482729832,2022-12-30
2,45.59387679302437,47.62199002226519,48.300076703985425,47.2763278746806,44.93470715111262,45.32130136219386,43.80448149457679,45.35024545916886,44.6425688043194,44.31323689475885,44.40390304586153,42.360900070947096,43.52339782825515,45.65521835295458,2022-12-30
3,40.72543665004823,48.58292844077098,45.37180531198154,47.165378539751536,49.16376251932736,50.02969567251353,50.46401302803732,46.45226047729969,48.65927250112737,51.03750878117581,50.780574609361935,50.93010741822792,48.2765317944873,46.57332819648432,2022-12-30
4,39.85435969302785,44.70215108378686,44.92333716795553,42.10809375205791,42.549287700118846,41.32117066863487,39.72243150485025,40.754127514380706,37.658786063536404,39.978981998762485,39.22163993732801,39.04779086779205,38.06189024639693,37.157443437290716,2022-12-30
5,38.0065046229515,39.59669510174297,40.30918741448326,39.50693235153664,37.858412101068616,33.729984831371546,40.003838178234446,35.72758184173732,36.45811327200433,35.64559879443464,37.16787223094246,37.14693046558208,35.84656231798435,35.88599827880188,2022-12-30
6,35.13055076782152,43.0801975963411,42.34438414033835,36.289378742836945,38.854615470879175,44.68594609450463,32.202117375473165,35.234571097474635,36.39081122195467,35.29316176395799,35.5296737560394,35.31252093592771,33.66882335024435,31.637847166028838,2022-12-30
7,32.41339755269106,35.402606633293885,32.2778183255743,32.88547529898328,30.34963100886761,30.31865145247689,31.184553810633766,29.549802433468216,29.553918775602273,29.707767974810125,29.45322253982605,30.556282801977176,30.183250108906137,29.838459970759853,2022-12-30
8,28.912474907649152,26.182608134381137,22.374761269158633,26.82589424201256,25.076589480057272,22.788503328194132,22.771524266696332,25.68794008262068,22.59573501366942,21.619616420651248,19.700976545587817,23.920237088317425,23.112164008637677,22.629102011012492,2022-12-30
9,27.110242221641727,22.080156276366967,17.536004366079368,19.62612449175547,23.124775489355546,19.966562079436486,17.92575740590094,18.42265934430611,20.583908031743007,18.904287011787716,18.226173964745104,16.691186169970514,19.084029487267042,17.625480895880784,2022-12-30

key = idio_variance

,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
DIA,0.0002614235400871833,0.00030588478861951043,0.00032470183340327276,0.00030521038838341645,0.0003308103500987972,0.0003685721493636113,0.00032779619233442133,0.0003329519479629504,0.0003629532727096551,0.000414330352583158,0.0004342750243304816,0.00038022905797800217,0.0003909312864382619,0.0004896685763116707,2022-12-30
SPY,0.0003364479140795281,0.0004288829618582061,0.0004318443490490653,0.0004362929124815654,0.0004674994087558659,0.00045816023371639107,0.0004465718905884787,0.000504688160148032,0.0005527857321035292,0.0005808265014249618,0.0006417080388208151,0.0007059924912623302,0.0007707473389744913,0.0007427189801397998,2022-12-30
