
key = training_type

ContinuousTraining

key = model_output

unobs

key = ts_unobs

key = Learning

Symbol,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
DIA,0.007407456858947796,-0.007387111000903717,-0.004433548390958535,-0.0030206945062645086,0.010880801436820247,0.015024385237965714,-0.01414311896184486,-0.011266292736256832,0.014671197065989487,0.008992695169087904,-0.012818594645921295,-0.014147449777263805,0.011845911865418435,0.018909421927794327,-0.014461123433817136,-0.011801631876974599,0.005695871989620921,0.007945983359104998,0.002836917921324176,-0.005003002020323899,-0.004138283568560363,0.00760495605978295,0.010505425173528083,-0.008021044492859591,-0.011190953990981934,0.006723027567933547,0.014980603891505842,-0.004516032329953628,-0.014838640660360653,0.0007575861499197407,0.015729487669688184,-0.001056979051503656,-0.012929504080144687,0.0022400505637803223,0.008807172851048128,0.0005986727730747593,-0.010431833199386667,0.0036844491961471365,0.013128191380221522,-0.004570238009233826,-0.012421763385486166,0.006222397760845224,0.010789784084336068,-0.005220800075582642,-0.009326902064671072,0.002622095938001251,0.009045871997574707,-0.004023913103980405,-0.009065986200091806,0.0010041684837174191,0.005476222254724523,-0.0014822164487573299,-0.0013025324757518011,0.0009244041252067033,0.0016792483328278826,0.00020794614453522594,-0.003072520659338827,7.33995995098623e-05,0.0015811106588951621,-0.004655702877492527,-0.0020202535671544277,0.009141643813954096,-0.004043001896885297,-0.008932128876015919,0.004993238816685854
SPY,0.0036782434332344256,-0.005185918348685891,-0.0012484599660508907,-0.01075918551957623,0.021080960098619386,-0.004719745235640843,0.0046855031476891644,-0.00041327660646293344,-0.002684086842613582,0.006347647754069863,-0.004987052147087842,-0.010960533790205968,-0.003786721986895977,0.02852180812089569,-0.017126891874665328,0.009067504824908397,-0.028212098402603605,0.029950604993885025,-0.007180771184015215,0.0027125056941710232,-0.011580122627400472,0.009333618175011164,0.005758122148869572,-0.005133649471933004,0.004706929121136496,-0.01563899237743214,0.029856120058043105,-0.013036569127822969,0.0030401920605831107,-0.017148090203387555,0.01509516594129862,0.0018486462968437289,-0.004594173744935971,-0.0033812826993272686,-0.0019316231590924212,0.01056538103247815,-0.014102006987459845,0.00863696408494254,-0.00037696577099686655,0.008624974595084989,-0.008998236623090473,0.003950865853011936,-0.0006014754875356292,0.007830695267571658,-0.007958660353660258,-0.008543887837554847,0.01384052820841289,-0.00526798671365726,-0.0007929391470848675,-0.010859931808827668,0.007724725877112213,-0.004448353614640264,0.008499916832336724,-0.007935944880995884,0.007070649334186607,0.0022416338601102996,-0.0014269247700261683,-0.0035456049038294106,0.0017043693923582113,-0.004615863776805054,-0.0014566024080061976,0.008695947283662278,-0.011179333707453816,0.012960493786715533,-0.01641135278780568
VO,-0.0003172205798724351,-0.0037026409887445134,-0.0016043569757707582,-0.00522319408483814,0.017675858698064612,0.005984666153602823,-0.011430093080872793,-0.009093595745642055,0.014082866699199132,0.009808322787512898,-0.011040858520584883,-0.01258438255956844,0.0038388146623992716,0.024224750505745806,-0.00737947702498799,-0.004431036976702411,-0.013567258690105232,0.02055391111386521,0.008044759508795993,-0.007652126504425865,-0.017013470717728095,0.010272488098601245,0.026282567285506753,-0.0100703657232026,-0.020395936730546713,-0.0004107659268629484,0.030240685586370025,-0.0018006808804004566,-0.017897750071396237,-0.00998503494044356,0.017193363388849116,0.006315423046282718,-0.007941837573790925,-0.0011353143715666534,0.0013872364287681833,0.0019267489805923216,-0.008682158045700994,0.00888650954272936,0.0037051422749666283,-0.004901929684493931,-0.011916365867267732,0.012236082664120235,0.010843897764748242,-0.006947963991213168,-0.012787023748663579,-0.0015362546926201532,0.019877298072443896,-0.0037611898441803557,-0.012319786326899328,-0.007870419266809389,0.01677458447297709,-4.866645636623758e-06,-0.006225890535171474,-0.0032050508282082165,0.00850500312664582,-0.0003706286715622369,-0.005538214729564595,0.002183964543074848,0.001626528074697116,-0.0062358352904787135,-0.006658374116278492,0.01455068266980014,-0.00012189111838167626,-0.006754153857432799,-0.007415799497139582
IJH,0.0027809259093973344,0.0003122890895471209,-0.00892593801011001,-0.008594867414907042,0.028178250036267102,0.0031897817354754046,0.00036103423679241173,-0.015399068371832003,0.013395772018895264,0.008270030392584858,-0.005107086516136312,-0.01065078425661663,-0.0033143333654509863,0.037414280189060206,-0.0076032259868594465,0.006545309904434684,-0.031236596644666555,0.03010157133660505,0.007075594012028804,0.007231127170484069,-0.017644166263155285,0.005990325156315872,0.030962221593934712,-0.012539465661061757,-0.004388176348450139,-0.01843915596328559,0.04182267040091812,-0.003084819879814924,-0.007734748559151478,-0.016888977487610812,0.018315835830202885,0.008701549380980306,-0.0110384541915716,-0.0015696975184697824,0.000939361241396009,0.011858734325725418,-0.019343585038074918,0.013554867450461899,-0.004725685220272313,0.009500448356658931,-0.025711567684125934,0.013043361510881549,0.009124120855778359,0.0008847270124494454,-0.013520842356384044,-0.017606807710144935,0.03263543047671005,-0.013700625539733247,-0.002264042076892754,-0.02506542089612607,0.023526249766861324,0.0010679808666474988,-0.007341058326527699,-0.008743766911504344,0.005730492553389887,0.009103700463383838,-0.0032476791046848214,-0.00484309510891483,-0.0007783585067886786,-0.005231826600624736,-0.0026457792803679715,0.0074904000059058465,-0.006021763707574602,0.0028272563872158056,-0.010884962794817267
QQQ,0.01978018575058539,0.027581014571465362,0.005553851247378571,-0.029151202267943686,0.012591417613274722,-0.02139875052874328,-0.009471553891330406,0.015159631596824683,0.001933781171614738,0.015774142159136396,-0.007304742369126349,-0.008951690118458882,0.0009690771361576909,0.004619994996865364,-0.03335508884994647,0.05273348623608777,-0.03164244003005368,0.013499741015377936,0.009732507507798267,-0.010203739333115025,-0.015335932664335833,-0.008307323929728253,0.0010087546301318832,-0.0033650254569893654,0.020612869741555465,0.008310782285255327,0.035270231644856334,-0.015117243229059833,-0.004451223074187783,-0.018707305650374106,-0.022106770051569805,-0.023309935772678377,0.004788446413479369,0.02387396200079481,0.008971736459528822,0.01929990524916503,0.0045711082388246085,0.005393812728551504,-0.0045265381831094105,-0.018107356099072394,-0.008065290205605079,0.0047738039780689,-0.013681117212641283,0.00680944858248784,0.005740114345727711,-0.0065500883310464705,0.01716426531378563,-0.002859259971106081,-0.0019699470202862177,0.002211983882343433,-0.007600471717811954,-0.0214319528205195,0.013210589044557908,-0.001183491343773923,0.011844938542677914,0.02227007360231301,0.004457061009002232,-0.0038041777159277153,0.0008132486195654919,-0.03706791800535805,-0.017218072490165093,0.015874355381047166,-0.024756858289415793,0.03598401308098714,0.012754840738713885
IWF,0.016415647088070327,0.02098697348451478,0.007386736025232828,-0.028379467172682048,0.015079367565850266,-0.016570078227398498,-0.012043117800760344,0.018592051937188367,-0.0014863974449738952,0.013083349578260834,-0.004402333726963181,-0.005768457871778581,-0.004099644043780047,0.012296875845212822,-0.041274125660856475,0.05004056581294783,-0.032092769159565146,0.01488206446422119,0.009064149522857107,-0.006773398321234066,-0.012981740412031078,-0.007311108673998996,0.000983282724231662,-0.008596053596803583,0.021028202114564097,0.0032921925059367983,0.03858608094224517,-0.013502730719636548,0.0016097375096880873,-0.01718084063041936,-0.019580446573902992,-0.022371293688453513,-0.003640808805142734,0.01909616930218127,0.003539269385093998,0.02199885614754725,0.005233588402445763,0.011198527964873323,-0.0009776527300676009,-0.012617863926017847,-0.010244696727020051,0.004513391257714056,-0.016143510847393128,0.0031778475221049523,0.004613642996444104,-0.00836279996432119,0.01843396064424679,-0.0028273376295659684,-0.0009534890814794886,0.0011291524859249166,-0.0018317821025668419,-0.024953404626159977,0.015822565408108388,-0.0024859630254230945,0.011662211847477637,0.020274190898092802,0.0033998248481096737,-0.002391920972997079,0.0010373557614315066,-0.0340095665703431,-0.01792657825784851,0.018282588507760898,-0.024940955895530345,0.03143531920549108,0.012004105896516577
XLY,-0.0010861732546762972,0.0005998161638136368,0.0003336221834568777,-0.010057950091953843,0.019595956098480697,-0.016369172746205946,0.00834168181350615,0.006955848227967862,-0.015882740099245868,0.01675175624476023,-0.011700193899825108,0.0012175897508688892,0.003970529623116359,0.0050828944904260254,-0.01491276754937326,0.02586011061972933,-0.033586512960002805,0.029143400619157944,-0.01807792900618616,0.00614016211419292,-0.003978051787094277,-0.0032319514816505374,0.015038292361242033,-0.022411108678178266,0.022502547171705578,-0.017949722534937974,0.01669260332911585,-0.00802127661573293,0.004887250325752893,-0.0036848131891919324,0.0006042494334594266,-0.0031116913522284038,0.0022778834282484264,0.0018674865683885747,-0.011690598397089455,0.010132487986458265,-0.007675483315179513,0.009079745999735258,-0.004430673058011759,-0.00023110764443887242,0.003521743969649221,0.0021319849414562875,-0.006472163326663278,0.006080341012729069,-0.0017736618251279687,-0.011269554073778311,0.017315338820301927,-0.017577321303850747,0.012261634945581874,-0.005896467041339913,0.0005203647880230138,-0.0015817395155739232,0.007760167020950345,-0.006089246559918088,0.0038350123122877166,0.00580385818764011,-0.005332951201003133,-0.001127725201094121,0.01031254706994059,-0.019615165087952496,0.014524220963375571,-0.0004800839787093641,-0.019470872631823743,0.030292708060526478,-0.027904733462955515
XLP,0.003310301129480434,0.001240042900093016,-0.003928319991696987,-0.0016888398301202535,0.008873351788980655,-0.005818542808343854,0.0017200188695276253,0.005031741351148631,-0.004974505570137995,0.0018855430297909067,-0.0024277523860488344,-0.00243201806125304,-0.0022505190609735234,0.004377134127433576,0.00985742574946262,-0.015420254422480798,-0.0039535874892327886,0.015929044525741596,-0.006966055410464804,0.0015736005941154802,-0.002024451658412821,0.002267036642947678,0.0033974461488591222,-0.005338309433414742,0.007968717574015266,-0.008796964802069832,0.006622924752455446,-0.002419912771343652,-0.007464417623888168,0.0016481598732695666,0.002350285648322536,0.005365196538706118,-0.010181727684570867,0.003039979076108499,0.0009298432663265207,-0.005297449243177206,0.005827301365518178,0.0018425452897296453,-0.004858195421204688,0.00713215211728377,0.0003932899291401476,-0.004527977437849135,0.0017810890105451423,-0.0005454913081986447,0.004980107880790786,-0.009035805808848938,0.0047804384304410705,0.0062284656048771595,-0.012647492696640039,0.004999697438093163,-0.0006794346596451528,-0.002865788677443647,0.0035871887047307263,0.0005285528570903533,0.0045277051774016515,-0.007852995734512473,0.005539178195951583,-0.0001693348834490156,-0.005207949655549636,0.0053711825167002325,-0.0059404592988097065,0.0066087065229267295,-0.00010713554284766733,-0.002984747919001341,-0.001579609496661456
XLE,0.015235770240541924,0.01126533769698632,-0.017118842879729985,-0.022882772178654167,0.019544057232314022,0.05468367612256349,0.005471078363592487,-0.027760949332404587,-0.013412455436261296,0.01813909434605214,-0.012332367222344813,-0.040108085657526805,0.0031685091861584115,0.04084450090878694,-3.860815214032972e-05,-0.052538408985964666,-0.048583268437466014,0.04185110433781166,0.05276006182662148,-0.003089302831449361,-0.001080847617160435,0.041163878886180394,0.017091605744902705,-0.05798887348424477,-0.027650436318200192,0.04001478133794266,0.02397331399831406,-0.02654760059253158,-0.027316566212075285,0.01777876955280086,0.02675253716006673,-0.022305959945293934,-0.01715787357922582,0.03191264743985375,0.0500104247949501,-0.010781202170691097,-0.046400571480775726,0.014032921294151192,0.02388770206481832,-0.023629286070035213,-0.05618642384330431,0.001751247519951418,0.05627963695546803,0.007863067667540746,-0.04078014014459385,-0.023121726920559235,0.044452226230332154,0.019181367691001587,-0.03807825316377449,-0.003952209070025958,0.04267859851743339,0.01877878536767719,-0.02783759589460426,-0.03225090052374536,0.008705373881386237,0.013899459555030833,-0.002895962728339871,-0.01928707948995114,-0.016136946970477427,0.010068226452107355,-0.002517323601818555,-0.0037310751650519217,-0.020340237300315346,0.00383777466917652,0.030533048010310926
XLF,0.01898704831187019,-0.014611827907030896,-0.012956166283666245,-0.001977321895837361,0.02097876305475167,0.01875127982416212,-0.0103416933626653,-0.00521261082490079,0.01244139186796433,0.00027242089077166715,-0.020935294496292004,-0.007187655249571122,0.017648190784580624,0.029071878201133196,-0.011081026319907823,-0.029116096985351198,-0.016403380248684922,0.0343956131835126,0.01842284247037191,0.0018189089439818239,-0.0067974939049327415,0.018781241113342468,0.012768773370840925,-0.022848741456033824,-0.015796370131577427,0.022091912524013303,0.03568566395475048,-0.01521733765392895,-0.026608149246091978,0.0039061241573903806,0.031850308334846894,-0.004967910510817769,-0.01871789986961586,0.008382689933718865,0.024450854699148383,-0.005882590877095748,-0.03393210718441974,0.01766575420859813,0.02326572414226636,-0.009319920872190284,-0.03378638930407602,0.009693819355766289,0.02777956625086521,0.00685871790792073,-0.018390247625269786,-0.007330595479570252,0.026630133315280448,-0.008325465525811275,-0.024164834618201292,-0.011112414408445025,0.02236284647786612,0.0022028662771381474,-0.005984993539637542,-0.011191955948385568,0.0069496024402709074,0.0018610245311050351,-0.00735990203531774,0.0028256042984281145,0.0025653443599126195,-0.0018261560191498247,-0.015381280849067527,0.00858682452472361,-0.0025460285737701023,-0.004442497930599355,-0.005903799419961392
