
key = training_type

ContinuousTraining

key = model_output

filter

key = uoc_filter

Symbol,0,1,2,3,4,5,6,7,8,9,10,11,12,13,2021-12-31
DIA,0.11530828266172384,-0.0013886753722954712,-0.13357060944676513,0.011532441470250301,0.11472192944796772,0.02805290371988124,-0.11612680715652829,-0.050414043757388755,0.14005234173657474,0.050410869640258954,-0.1456984876658877,-0.002454483255667222,0.09666678876835519,0.03642383251828245,
SPY,0.22041984998493505,-0.12665629953142346,0.07672886659416574,-0.13703332128900952,0.06565437620528437,0.07627806379023722,-0.05162858383872951,-0.04353778848641947,-0.0038847411457911428,0.1690519892148589,-0.16263558583161253,0.04814155284077297,-0.11252662322327282,0.21543892748119767,
VO,0.170118477281173,-0.05167228217215123,-0.12339874116448608,-0.023739421937292247,0.1642452465889411,0.054561394746178465,-0.15868395023624907,-0.04078066078699224,0.12324372232365254,0.11895722482534911,-0.1445316760474752,-0.0353373534872571,0.023715374686341342,0.11781278457362358,
IJH,0.21070061247065838,-0.0703445697696259,-0.004821263017147932,-0.12025019413490293,0.16951181539275298,0.0600697206371228,-0.101332459382731,-0.025618769679411135,0.04809608699987051,0.1880196238774244,-0.16630749377851015,0.006312622826918573,-0.03357617403291487,0.192657553261385,
QQQ,0.31611601508426446,-0.08288222978279138,0.031617314843214214,-0.0421965173647631,-0.23291499518138167,-0.048737900666706295,-0.130744778277067,0.04146879808054434,0.15450237856440166,0.11908670229017258,-0.047242513062153754,0.23881746466943973,-0.17413359219921204,-0.0588014213370143,
IWF,0.32755833514086713,-0.07192145452848084,0.04390813853366164,-0.02360049419134847,-0.21953040045893568,-0.06149821019488795,-0.1403545029638257,0.011559514449207085,0.12083990848686134,0.14489897272736443,-0.08671842047489353,0.26709129301477114,-0.16034581248889532,-0.025120003322980488,
XLY,0.12858789343331936,-0.1628713096137386,0.14391097639137979,-0.0718850167697472,-0.012641941526244406,0.08707364291796098,-0.11324047460911814,0.08371790210759093,-0.05368211723358398,0.02724673311537148,-0.0523840301650904,0.07863752239496326,-0.1092029368390747,0.08716103776213459,
XLP,0.09475250267277428,-0.09678664353376022,0.04683861907879081,-0.03790958399315615,-0.04051135822432819,0.0512609838101031,-0.03873619260616219,0.04411523926708507,-0.08386625630730586,0.12688088029523834,-0.026434269080707586,-0.15175046506295142,0.1306289289555658,0.033721137998954744,
XLE,0.20953986576650552,0.01393640573783919,-0.1836873715571414,-0.0445321639557823,0.15074080065371628,0.06967341366006768,-0.12399039017573886,-0.058789605358115414,0.09056220607512573,0.00858043755410378,-0.14148525902510684,-0.0847173807864566,0.14082372761265138,0.1673497605253581,
XLF,0.26925202150095207,-0.010668299646970438,-0.15941329092447307,-0.06971509966963224,0.17712102541034072,0.05044764255747802,-0.1142993062834243,-0.038521024109337054,0.1388442389237238,0.06794848294467164,-0.19836628328625447,-0.05715451322413171,0.14602239982568746,0.17340894257296185,
XLV,0.1331792915531547,0.021615137210964683,-0.11221827402859401,-0.04070536162942232,0.054240977369765145,0.0704463089146038,-0.0483534380717608,-0.12769772151579692,0.026174933673003737,0.16906812991497422,-0.05993879613115836,-0.1274860743843674,-0.016039008822490732,0.15749345743183288,
XLI,0.20330483544573655,-0.016269041106766823,-0.17508087428747698,0.014924104914523308,0.17150048629248185,-0.011521149009085841,-0.1766195317171131,0.020046765342278536,0.14166076030740496,0.026858765431063487,-0.16512350531247802,0.005760448391837553,0.11486649351703955,0.09169154992965205,
XLB,0.23423753811534206,-0.05580363981652836,-0.13109318872909573,-0.058195199400346474,0.18701214683563155,0.03110096066622247,-0.15527476383073993,-0.06154806214791112,0.09271593984867477,0.14324708556638333,-0.1606696745328412,-0.041121886215481004,0.004796598159721783,0.1876171607208036,
XLRE,0.24196308508059347,-0.18545016966685776,0.0014938457796846566,0.04037674492837669,-0.03303144933475913,0.11767086632335917,-0.09578747547779702,0.1104802911124081,-0.14076176772416585,-0.10170570543543778,0.24382918364003325,-0.09605008765511824,0.0874381871751067,-0.06776706363348885,
XLK,0.31764273518664154,-0.12127864707063216,0.025894543661049034,-0.03528240886775048,-0.18253783631513676,-0.03456017566348454,-0.16230022644888578,0.12048045548377655,0.1319464262340817,0.0711456888472628,-0.05590797339717933,0.2433853758025397,-0.19207906713265202,-0.054977193163817016,
VOX,0.003899375057978296,0.008786635797307507,-0.01580332419458557,0.013901786405620203,-0.012466257001286469,0.02150022149398786,-0.016200812280571665,0.00763267317209595,-0.010212405070673381,0.024308414262590013,-0.025625729412018773,0.021257093193097015,-0.01834429940635066,0.016891464575407685,
XLU,0.21320389571603973,-0.06578702735535195,0.026057136249213905,0.08106825163480876,-0.1437565587788658,0.12893787869149945,-0.1739886916490642,-0.038310316653359634,0.027657420755991865,-0.13518981986179943,0.18107919623203136,-0.12444286036521965,0.025356947365735974,0.13848631697265784,
GDX,0.20345274901965826,-0.1260582347416152,-0.09638082834823788,0.005795469146652539,0.07214172184083985,0.1674813643181431,-0.2434529081190501,0.017761954779665478,-0.004212604098664688,0.10123398816915882,0.0002483788619163388,-0.13295642250936227,0.10283836665373851,-0.07407893690099253,
GUNR,0.17618673261425832,-0.02294077408200802,-0.14762321828381814,-0.033052623645766735,0.1678939701441814,0.051684262450448125,-0.1246980173762632,-0.06555772632061108,0.1094559187099393,0.11117818330490531,-0.11655025603984813,-0.09310691873738136,0.05562239869067099,0.146077516100129,
IXUS,0.22591930859530476,-0.07742839512303777,-0.1038435795276821,-0.06002398902722561,0.16841085048743534,0.0729347643693021,-0.1260527798574841,-0.03906867168521348,0.07876788595589482,0.16821528659512675,-0.13434946482526539,-0.021635454131461066,-0.08423648288897934,0.20805401222115996,
IEFA,0.268789799485651,-0.11204414694302128,-0.03284704207185628,-0.10799887837063199,0.13587338528921028,0.06333382583605074,-0.10174323306287114,0.005382636237180405,0.0772775966215108,0.16286839857635937,-0.18886081485496117,0.017920700047833218,-0.09837414534093784,0.2454116629175197,
EFA,0.27308855197820436,-0.12220412873967423,-0.024598727124059427,-0.10983206907393464,0.12624376889080785,0.07108014883152958,-0.09936819440399723,0.005397451196997482,0.07585484144184763,0.15778406165734146,-0.1807392669695765,0.018796029331745602,-0.10908066844610032,0.2538656829250413,
