
key = training_type

ContinuousTraining

key = model_output

ARcoefs

key = ar_coefs

Symbol,1,2,3,4,5,6,7,8,9,10,11,12,13,2021-12-31
DIA,-0.001569671496952085,-0.15097983492897593,0.01303554813980551,0.12967446987423525,0.03170924195411535,-0.13126245547535215,-0.056984871418336254,0.15830637835961958,0.0569812835955189,-0.16468842740411635,-0.0027743938454085335,0.10926607186873108,0.041171214564853,
SPY,-0.16246732235162206,0.09842332003025345,-0.17577836132225969,0.0842176089322126,0.09784505645604648,-0.06622613959287163,-0.05584773866494438,-0.004983119626270709,0.21685004320799095,-0.20861945475198374,0.06175317937461933,-0.14434259674402727,0.2763525052260944,
VO,-0.06226464954041201,-0.14869440731757916,-0.02860579647504145,0.19791409025573548,0.06574600500493909,-0.19121277663391592,-0.04914034072404475,0.1485076109658232,0.14334241884989304,-0.17415940961544235,-0.04258120288241408,0.02857681974728864,0.14196337832375125,
IJH,-0.08912279786484814,-0.006108281715813013,-0.1523505478843828,0.21476238049969543,0.07610511497437307,-0.12838279236465777,-0.03245760744804678,0.060935163209008006,0.23821078141966118,-0.21070267683734623,0.007997754624741733,-0.04253921207010533,0.24408678925298563,
QQQ,-0.12119340650008593,0.046231986039430246,-0.06170128018126103,-0.34057676494658695,-0.07126632841491604,-0.19117976317748783,0.06063718261461249,0.22591898914468456,0.17413290107216914,-0.06907971835014491,0.3492075701975467,-0.25462446268670524,-0.08598157382536088,
IWF,-0.10695567851755194,0.06529657638459947,-0.03509671607914486,-0.32646757619476807,-0.09145508585904023,-0.20872368608097475,0.017190360224970037,0.1797031843828053,0.21548184816554866,-0.12896051063858427,0.39719622827167167,-0.23845311923449222,-0.037356405225489414,
XLY,-0.18690503423855706,0.16514686370193055,-0.08249256147354952,-0.014507420118424808,0.09992246178564891,-0.12995054091603092,0.09607153891565173,-0.06160359355700116,0.031267333687527266,-0.06011395730027301,0.09024148482948108,-0.12531721330947387,0.10002275284600375,
XLP,-0.10691732793465447,0.05174123012445044,-0.04187759049882546,-0.04475169314904418,0.05662648497947016,-0.042790720461014405,0.04873279340438591,-0.09264456025001325,0.1401615366735158,-0.029201151241793726,-0.16763422766812378,0.14430189461031617,0.03725073871898851,
XLE,0.017630750918707937,-0.232380310659515,-0.05633701438841686,0.19070006711962637,0.08814285584133809,-0.15685849900067603,-0.07437390301172292,0.11456897337769407,0.010854990887584978,-0.17899101156101235,-0.10717476709765589,0.17815411747387802,0.21171182869030625,
XLF,-0.014599150405975855,-0.2181508476450486,-0.09540238457152721,0.2423831890361794,0.06903562382902131,-0.15641412586346717,-0.05271451340646746,0.19000290525457086,0.09298483874596196,-0.27145649269355165,-0.07821371376425394,0.19982593742594623,0.23730334900021596,
XLV,0.024936110778541878,-0.12945961366066666,-0.046959378372901935,0.06257462107354725,0.08126975766514424,-0.05578251373158776,-0.14731734056585183,0.030196479407954526,0.19504394422914464,-0.06914785900599404,-0.14707317573526224,-0.018503259862387413,0.18169092627473904,
XLI,-0.020420660034844138,-0.21975892672253328,0.01873251599672138,0.21526487660865026,-0.014461176020230655,-0.2216902267957513,0.0251624036823348,0.17781049341081615,0.0337127255517993,-0.2072605842974604,0.007230429715310768,0.14417872559990402,0.11508987880069761,
XLB,-0.07287330287670032,-0.17119302036098172,-0.07599641180780688,0.24421691600730364,0.04061437092343005,-0.20277144879703968,-0.0803748749924774,0.12107663206745176,0.18706464823808477,-0.20981659787476226,-0.053700577218519945,0.006263819916056772,0.24500699637202014,
XLRE,-0.24464530159006118,0.001970676823626053,0.0532648794982095,-0.043574987820046984,0.15523105010772437,-0.12636254724874582,0.14574526508930535,-0.185692497230338,-0.1341698582664025,0.3216587198341876,-0.12670898443689932,0.1153481914326072,-0.08939810489399948,
XLK,-0.17773482210056765,0.037948659736379946,-0.051706650880900484,-0.2675106512789387,-0.05064821237440418,-0.23785227302193215,0.17656506598010785,0.19336853733091316,0.10426457299714234,-0.08193357978312366,0.35668320446344426,-0.2814934009461897,-0.0805695139464143,
VOX,0.008821032310685414,-0.015865188514970974,0.013956206890673683,-0.012515057905934025,0.021584387114744846,-0.016264232623601296,0.007662552337561492,-0.010252382957060989,0.024403572946262227,-0.025726044909880796,0.021340307054153587,-0.018416110729193042,0.016957588573334004,
XLU,-0.0836138193836417,0.03311802906412168,0.10303590878679626,-0.18271132507664664,0.16387711884877976,-0.22113568013584176,-0.04869154339322094,0.0351519543696293,-0.17182319425034734,0.23014755061201805,-0.158164052525999,0.03222810487707305,0.176012967296896,
GDX,-0.15825581544154524,-0.12099825619838397,0.007275738055112028,0.09056803818235791,0.21025917057904248,-0.30563523735650716,0.022298683170151143,-0.005288580298883803,0.1270910018766196,0.00031181936992518935,-0.1669159266392892,0.12910516799495736,-0.09300005343037801,
GUNR,-0.027847055868385578,-0.17919499979926293,-0.04012149956100451,0.20380100295904416,0.06273783695480048,-0.1513668476983567,-0.0795783813104267,0.13286496229574285,0.13495556299756375,-0.14147654651120678,-0.11301944557514032,0.06751821182387731,0.17731872243777513,
IXUS,-0.10002625822190626,-0.13415084587530668,-0.07754228944569373,0.2175623967338941,0.09422113893184718,-0.16284191203470125,-0.0504710582747091,0.10175668613172315,0.21730975654472506,-0.173560025869482,-0.027949869272930732,-0.10882132034080136,0.2687756128416175,
IEFA,-0.1532311049055484,-0.04492147681850028,-0.14769881259132225,0.1858198712130028,0.08661507428575307,-0.13914361833478633,0.00736127071722214,0.10568451666449959,0.22273813803718037,-0.25828525740219765,0.024508274139539373,-0.13453606811247898,0.3356239597654571,
