
key = training_type

ContinuousTraining

key = model_output

forecast

key = ts_forecast

,2021-12-31,1,2,3,4,5,6,7,8,9,10,11,12,13
DIA,,0.006413474768209907,0.010454380698661484,0.010807891902783228,0.013627592034797943,0.02166507174602209,0.025773035521227228,0.024085517491493832,0.02780654277791952,0.03632916449496858,0.03973158902600123,0.0393166844820998,0.04237692047144761,0.04963147693783898
SPY,,0.014735533953341986,0.010802223776001575,0.023121559096597695,0.023561892258968944,0.03123414032264886,0.035210519367406705,0.03803851214291576,0.04772781303050959,0.04289594767536388,0.06066273189820429,0.05144401019752833,0.07170513953217503,0.06121198109121019
VO,,0.007527144359465659,0.01669952506127086,0.01692220211905191,0.015518673463113888,0.023532175210155774,0.03528837588651037,0.034714034166229715,0.03180611038007054,0.037976930260057336,0.05115974120415308,0.05350706988993055,0.049548920318640007,0.05407697728910736
IJH,,0.003860940327695503,0.004742870109010568,0.011725826464856766,0.015294393166274785,0.01935506080079534,0.024543979976035312,0.026717353505442593,0.031853803421229315,0.03133274518288327,0.040605499164128436,0.04174026177055415,0.04934860382782333,0.04841237418548121
QQQ,,0.01094193424076748,0.025630320870497315,0.0009059412881750849,-0.00678874729619922,-0.010019765825621061,-0.02174506391517672,0.0002411412740478576,0.031268577528441595,0.034286316159848854,0.06600129181689637,0.05379987292164766,0.04154589422024692,0.039082567421297836
IWF,,0.01141543049181829,0.029260517353820993,0.01092707963863386,0.004196768590747862,0.002484308462403679,-0.01089236314395183,-0.0003514552510095123,0.030868646842145152,0.028006438051649322,0.06348213087244721,0.06033147850383176,0.052496014325191256,0.0579361427872638
XLY,,0.0229982431427449,0.012761045416845175,0.025460394059569003,0.02966430372685411,0.03039166890229547,0.04084733954184448,0.0395853213673184,0.05123319296245074,0.04668451744121211,0.06343996869227168,0.05463650048634194,0.07218336738642078,0.0667731095617541
XLP,,0.002428303148618289,0.008772646881663421,0.007946920032913873,0.013829674249958384,0.015755645424405832,0.018428763737234965,0.023300525641438162,0.02363503474268149,0.028299530459492614,0.03099103979875509,0.035031988726166946,0.036942645305003186,0.03977505529522488
XLE,,-0.009607892612639174,-0.021888347231391783,-0.002843382435488262,0.02815942061246795,0.03103906970887697,0.012741110459382966,0.020760265798323754,0.05453568788343436,0.06414029756841105,0.04371145034125315,0.04373780723373625,0.08235601361916645,0.10232548777099891
XLF,,0.003358102386415888,0.014660737298611008,0.021342411518397893,0.019255505411630885,0.023535517980336013,0.03907494233089888,0.04507169689009907,0.041214266035885794,0.04324119956529579,0.05887085777745397,0.06788798652248307,0.06305918709667208,0.06160618891498879
XLV,,-0.0020937584240904696,0.004379656911398753,0.01663961894719376,0.020779091245813158,0.017703179331014278,0.020727475846053237,0.03326894769318221,0.040115857083982465,0.03735467220237548,0.037544242008904605,0.04796828965799961,0.05864112361900374,0.059305692789686996
XLI,,0.010422510455266534,0.011588338210580636,0.0073435176451051645,0.015436295328890293,0.027902060694517408,0.026576870385747246,0.0192633566498963,0.02848410318652715,0.04305255046548059,0.040480971403056766,0.03217092059313113,0.041419971789775835,0.05736341358255019
XLB,,0.014216078573926247,0.015725478418320282,0.003192928969608882,0.013833165927470047,0.032816084304658294,0.04244645374767923,0.025039495046859858,0.02693726763185162,0.048279087455032926,0.06267886614175852,0.04785858459414873,0.040863745350743656,0.0638888511496887
XLRE,,-0.008445527282680634,0.00964266974041363,0.012644374904303566,0.018471401232684617,0.03225407588994246,0.030399708892073517,0.050477554444137276,0.042466672932686175,0.059680870664923974,0.06754447332867405,0.06524036373412617,0.08743108194472594,0.07878988433054877
XLK,,0.009943858627869917,0.016587107431605748,-0.00042954044757555904,0.010942864610908494,0.006610186004622048,0.00520196230386092,0.025820810523276005,0.049370531727831214,0.04141911360938925,0.06602767347856137,0.05708851743501981,0.057188595650630815,0.05956748506903529
VOX,,0.0024944455970517987,0.005005920419645869,0.00744702651659509,0.009981059867618066,0.012438922585470349,0.014964420803295048,0.017424010494015204,0.019916325161143642,0.022419074310377943,0.024892877053825587,0.027405451878058755,0.029872011379653653,0.032373346982309786
XLU,,0.00964588848035828,0.009441035140840923,0.015951671900412554,0.02049373700454214,0.020890750673064288,0.028797225418305938,0.02894467550178305,0.03099672165040303,0.03518272790877393,0.03583042395795535,0.04176349495825974,0.04130395243818283,0.046613532432074056
GDX,,0.011518974775590923,0.02666594996090357,0.00021687775796388337,-0.007851761162330858,-0.00017586901384249783,0.009624648950375285,0.0038767960942906847,-0.01800601143337499,-0.006566973315185676,0.00018859301036854449,-0.006469111180460678,-0.018853843006753954,-0.02116172201517784
GUNR,,0.0070922847728320335,0.0006713367080222968,-0.0024118259079285113,0.01069684782333149,0.024273087142171485,0.023335569202314117,0.015315644211280146,0.022883939063129168,0.03935297148711057,0.043428109238606565,0.03504391651624591,0.038907000804606504,0.05598646298150746
IXUS,,0.011679332592180425,0.012608894251157052,0.0028892954956565957,0.003363487007113545,0.014554812685022518,0.023211824643417173,0.012402899633242457,0.0065467130238430074,0.014669088833186399,0.02926127092998098,0.02240141570184879,0.014310913530945577,0.019010298102648624
IEFA,,0.009883351852797817,0.010440688234410186,0.00705521430217562,0.00918496346817499,0.01758205996562304,0.023830164691710704,0.017234738602416484,0.013854180560114648,0.017572073467246537,0.031887787784671044,0.026498948774432263,0.02723127149332285,0.02633345399131514
EFA,,0.01097290129091743,0.010659000533247592,0.008014209421410099,0.009664832723928896,0.017959108956901906,0.024044181346847788,0.017922119498422026,0.01455460847233456,0.01754739087653713,0.03251734210122728,0.026311357005254866,0.028715317370120765,0.025752659896996516
VGK,,0.008211281908359335,0.01185413225832469,0.007288474367103927,0.01337195997280086,0.0199185733161763,0.027749861297956084,0.020079114595572958,0.02149874742580504,0.022936521541456853,0.0390754838275965,0.032546841790029576,0.03526537564565452,0.03826734830901515
