
key = model_output

vil_forecast

key = vil_forecast

,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
VIXCLS,15.43,14.506353392452004,14.42548849273958,14.311271178573476,14.24401802617611,14.195016313934143,14.161682231024232,14.0815523207917,14.034942832017565,14.060215438608193,14.02591845554846,14.091999263270322,14.033763235732268,13.973890693738987,2024-12-27
VXDCLS,14.84,13.827773566358836,13.762812198873773,13.689987100944144,13.594739887405591,13.546707499412763,13.549559805403062,13.47853854181324,13.426583996449585,13.460531649648312,13.41205044135376,13.427012813511247,13.402554950292338,13.338289298520412,2024-12-27
VXNCLS,18.03,16.801647915615362,16.7357712805464,16.577485709204346,16.49347486316454,16.50986377346415,16.341950303000928,16.246889398755787,16.206060826418344,16.1747952757447,16.10435843435957,16.253083677878102,16.194908169657484,16.08365263928536,2024-12-27
RVXCLS,22.19,20.296690438463393,20.260426764315458,20.199478244892664,20.027262605945037,19.952585759439764,19.88591434813588,19.852000464353143,19.73998080428951,19.744752283605024,19.679916993519797,19.66404456405861,19.622052688894414,19.5243931266988,2024-12-27
VXEEMCLS,17.02,16.532500983968077,16.41484993687039,16.253500832546305,16.14521110065343,16.046584955617558,15.91567844191831,15.794955046908422,15.733813026718526,15.681738967593684,15.655133718196529,15.631882442604457,15.602576804335527,15.57263684658584,2024-12-27
VXEWZCLS,33.64,30.317987291790605,30.311912575987705,30.305653129992375,30.315441442897963,30.32362344635046,30.303123375531484,30.26074886094365,30.22920090086307,30.22554832778725,30.211473642554232,30.178178506991642,30.15142336526459,30.11963351836913,2024-12-27
GVZCLS,15.03,14.036782002714498,13.977429164837563,13.95228161209084,13.908699852506432,13.86997826980256,13.784497236072099,13.721925759835127,13.697529236740653,13.642619316785282,13.597046995037855,13.56699236550356,13.541615335953637,13.508028156933818,2024-12-27
OVXCLS,30.18,30.011205584061436,29.667273907053936,29.252892965699363,28.797542897713978,28.529412784600098,28.30197499597006,28.033608271890145,27.88772652694429,27.753457512766232,27.61225398931069,27.53754230547401,27.477704819786453,27.419097936940283,2024-12-27
EVZCLS,9.97,9.440278136145272,9.512590226673733,9.510329417879756,9.569231743459504,9.587922131176986,9.566137386542954,9.623821604011964,9.698762076738713,9.707088570587436,9.74856366934951,9.804845429169816,9.834876586334087,9.844060333794582,2024-12-27
VXAZNCLS,28.6,27.884494529086233,27.891060544700707,27.68991954419489,27.61012195782085,27.389789955811885,27.143210947885297,27.139238079466153,27.162290825943984,27.10198164750548,27.06553901147216,27.135807873900063,27.152290941658144,27.07433201446953,2024-12-27
VXAPLCLS,21.81,20.864919151364724,20.75678171225018,20.610767046309363,20.511837474125816,20.347909098569527,20.23703821476689,20.216897038082106,20.176563935631492,20.146027773834092,20.170429402474284,20.244823414412803,20.20125932674036,20.155207033547498,2024-12-27
VXGSCLS,27.64,25.133160015308622,25.12904724293314,25.028834199473316,24.976462342428086,24.97906275953231,25.04973937635614,25.002822818359743,24.95367292233153,24.9696325100202,24.958309810567528,24.968352228064674,25.011660506895495,24.957496256826737,2024-12-27
VXGOGCLS,28.78,26.853088171723087,26.639174793520446,26.503419159891987,26.414794456338157,26.329485894061488,26.303771351419307,26.356114781436006,26.407029074782578,26.430146192538196,26.42970348878338,26.388593259218926,26.334842412600594,26.306437309342858,2024-12-27
VXIBMCLS,23.85,23.37032251976872,22.983073448292526,22.85512198406527,22.746361789619826,22.587207215227753,22.50463737341818,22.55727830742311,22.66933722541218,22.729735904103514,22.716425147714464,22.70356298848947,22.686414326028974,22.625534428830886,2024-12-27


