
key = model_output

all_variance

key = all_variance

,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
XLRE,0.0006788350190230375,0.0006683075418821371,0.0006513364088824618,0.0006305056171788081,0.0005953975004839389,0.0004667485970194647,0.000429156074171581,0.00042760525453434923,0.00045615521966387875,0.00039271364524567833,0.0004576341558601361,0.00039499183657956926,0.0004282131360583935,0.00046106183885505966,0.00046033004165461927,0.0004311977408756521,0.0004217861654277359,0.00042396794569775256,0.0004295584380482498,0.0004340079916732798,0.0004280009169270386,0.0004257773652754637,0.0004222236068255289,0.00043538808956963235,0.00042968756310479564,0.0004320031046593157,0.00042741605932019065,2024-12-27
XLK,0.0009846034597456891,0.0009274814782207554,0.000986826859960167,0.0007816957938242002,0.0008260953561823966,0.000826612039916642,0.0009122322850758375,0.0009117141376935355,0.0009298637023586938,0.0007511624343520945,0.0007773731232883644,0.0009099175141150651,0.0009894220016378992,0.0010389588160451668,0.001140171891287102,0.0009946061599741425,0.0010175280490689865,0.0010854331913381988,0.0011611009009974403,0.0011606593733828401,0.00114295067716308,0.0010410321094557458,0.0010840552797444375,0.0012081078476658218,0.0012188223412979379,0.0012645011669466374,0.0012505282043110946,2024-12-27
VOX,0.0004919264576163871,0.00045940554054830335,0.000364093592117327,0.0004634859133506727,0.00038756143442776343,0.00033786959588322815,0.0003062060049864912,0.00031022182235729333,0.00033183306846094597,0.0002886871450308267,0.00030466269488937464,0.00030533624458082084,0.0003229266118108467,0.00032446991508235833,0.0003263764936556825,0.00031235311648413177,0.0003088165732112389,0.0003003991838212971,0.0003054340928527628,0.0002994897822088585,0.0002964261725055344,0.00029312615361174615,0.00029485191693873235,0.0002980815332487996,0.00029899958631548806,0.00029977926245364727,0.00029632718239834305,2024-12-27
XLU,0.0005639619597639256,0.0005069754676709109,0.0004976760230898469,0.0004575275060634051,0.00045962481053535786,0.000449463048647616,0.0004002240295956394,0.00038718872391061316,0.00042547143950299755,0.00039545961430877385,0.00040819782752157195,0.0004095665779629245,0.0004125258309420894,0.0004458070667305402,0.0004586747065632371,0.0004335048224200965,0.00042079685923468484,0.00043903554417492555,0.0004358410041985639,0.00042340613143298746,0.00042392386415959597,0.00042297972663842156,0.00041078946263509506,0.0004239909010215862,0.0004186663384599319,0.00040965495903162193,0.0004144124986754174,2024-12-27
GDX,0.0022480683679026664,0.0021375149350873783,0.0019115454847625406,0.001804589610903959,0.001791489566307772,0.0015828712962512271,0.0015812907814533126,0.001693235317035623,0.0018442844206375346,0.001821145199847845,0.0014555653827019541,0.0015722514985990136,0.0015804912530356582,0.0017854670186186168,0.001836012470566496,0.0016949584021844798,0.0017065159254841106,0.0017014973406341432,0.0017804217332213024,0.0017442787935624412,0.0016599868918051983,0.0016600445921822605,0.0016530559345553756,0.0016804347807249749,0.0016732744498141692,0.0016470747013916849,0.0016339268468214142,2024-12-27
GUNR,0.00048110753586121053,0.0004628079477109906,0.00043570114077038285,0.00042992829914822984,0.0004486245102219584,0.00040295266858091723,0.0003739832021586723,0.00039351886947365663,0.0004918035314688485,0.00040734167918359546,0.00043091729958795704,0.0004603764191218343,0.0004252348367247986,0.0003872624763556598,0.00038117616975400165,0.000369628913282205,0.0003646882135133467,0.00037061891119104874,0.0003812937789514166,0.0003718014771012241,0.00035721157426023937,0.00035510261514450374,0.00035518978635199145,0.00036094750428840875,0.00035857817898481365,0.0003553740589533616,0.00035136117708613006,2024-12-27
IXUS,0.0003041527877578035,0.0003127795661794264,0.00031608808610392164,0.0002757701405021906,0.000285422117930052,0.0002436817807704099,0.00023200666245541,0.00024498708117072076,0.00028947505394916786,0.0002691859841365927,0.00029567546674422033,0.0002682865871853542,0.0002759572070967837,0.00027499893884026875,0.00028856154704519317,0.00027943730577602267,0.0002692005783864303,0.00025981502779442035,0.0002632903389115202,0.00026342813874681646,0.00025884056795345074,0.00026149723674737276,0.00025411036416565736,0.00026173693217594536,0.0002571024905467736,0.00025456639914172305,0.00025348837731022637,2024-12-27
EFA,0.0003077471379703577,0.0003318840795974126,0.00032426990963278156,0.0002901572066405378,0.00029992932956373274,0.00025552798144993724,0.00024379520949329917,0.0002622999886121043,0.0003052815057696176,0.00030558871398199243,0.0003244068649955576,0.0003008809660563913,0.0003141609461004182,0.000308525429477616,0.00032485383458729814,0.0003138919442129668,0.0003032183190664277,0.0002937452959452316,0.00029921034052460786,0.0002987606495521426,0.00029808347587945806,0.00030108832734331595,0.00029400946098378725,0.00030300412709883954,0.0002969263050428152,0.0002967178566071826,0.0002951319744668289,2024-12-27
VGK,0.0003081721000874105,0.0003787186621710187,0.00036815655627887406,0.00029181829783695356,0.00032527282537554123,0.0002724940605420016,0.00025066431684368605,0.0002735026185006768,0.00027331858704799966,0.0003257392002964179,0.00032986836313656984,0.0002557564222711243,0.0003075100893266855,0.00032546435900624517,0.00030248561368757755,0.0003130336256162348,0.00031142501516185777,0.00030063265889550045,0.00030793318911760616,0.0002976933416533129,0.0003111312136260956,0.0003176478486206777,0.0002862722545915035,0.000307147833587726,0.00030881972661955673,0.00029778141160915377,0.0003057117028574715,2024-12-27
SHY,7.493759669696641e-06,8.082434737354617e-06,7.595800818607827e-06,7.219771633550749e-06,7.697206658272009e-06,7.206167240422696e-06,6.618482482243188e-06,6.186291923711145e-06,5.680414476601272e-06,5.571336497401283e-06,5.962188181007649e-06,5.936604318294209e-06,6.60150835808318e-06,7.0368649739740475e-06,7.096610482120523e-06,6.5362090530910915e-06,6.635649925261655e-06,6.627178127160617e-06,6.706657952532287e-06,6.5170770505009135e-06,6.454931374828188e-06,6.44257207955718e-06,6.4547504028894455e-06,6.5780496652979705e-06,6.57829179915024e-06,6.719130199367693e-06,6.581620527627187e-06,2024-12-27
