
key = model_output

indiv_var_parts

key = indiv_var_parts

key = comm

,"(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(6, 6)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(7, 7)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(8, 8)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(9, 9)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(11, 11)","(11, 12)","(11, 13)","(12, 12)","(12, 13)","(13, 13)",pred_err 
HYG,2.746093025733106e-07,-3.215187911841566e-08,2.196958396459913e-08,4.053680538566176e-08,2.0329983138029847e-08,6.282657033896875e-08,2.1193890166628555e-08,5.2084575915482685e-08,9.146235604768255e-08,2.2698752293669526e-07,-2.2954216340917732e-08,1.6993656222383607e-07,4.663731832666061e-08,4.173425809368344e-07,6.099854317810883e-08,3.613270413281686e-08,2.3861836964647823e-09,1.598777223769467e-08,5.903083194027743e-08,2.653156136773143e-08,2.2604032653104133e-09,-1.503799800293922e-08,2.463672531157034e-07,3.7579787160912646e-07,-4.556175130371841e-08,1.7203319085316202e-07,2.5185532137323395e-08,2.326837208267479e-08,8.387221701954524e-09,4.407866299266775e-08,7.765701492046888e-08,3.4930186443743517e-08,4.9149204603208734e-08,2.6009633068788384e-08,2.1554133891205722e-07,9.562888835260116e-08,2.0484156130138708e-07,3.301880224585116e-08,1.406616479116964e-08,2.139838381418182e-08,1.9550273471125434e-08,1.1784823712915213e-07,2.208301017923147e-07,3.256991733510799e-08,3.173541184907807e-08,7.369959483039807e-09,2.6138520466738727e-07,3.008381982056339e-08,3.5580613806872844e-08,-1.7799837653629334e-08,3.5934065650111644e-08,1.1058971300168721e-07,-7.828905578400735e-08,-1.1565513250862055e-07,-7.468753959151465e-09,1.6562797182801182e-07,3.1107749652353164e-08,3.517006390987587e-08,-2.571673343421429e-08,1.5861193497040149e-07,6.470290216810112e-08,6.142288496935625e-08,2.9691872170432146e-08,2.078635521868705e-07,7.217230218792628e-08,4.1011459140519053e-08,2.941702570454312e-08,1.123942564707366e-07,8.489058597186557e-08,7.033340567923311e-08,2.7078755594426606e-07,1.5820347497723297e-08,5.147107232029346e-08,9.613652473258961e-08,2.9207252128386675e-08,1.1974542751447246e-07,3.585056137103414e-07,2.3168887172560498e-08,-1.2254974513333487e-07,1.6559234743142657e-08,3.497286565809908e-08,5.85249853128434e-07,2.0756325546133957e-09,2.7392892364358614e-09,9.31158361557372e-08,4.1927598463071367e-07,1.7668559683424507e-07,1.985293690452991e-08,8.810364049849718e-07,7.320217655400231e-08,2.6548988060183366e-07,8.45118031088699e-06
SHYG,1.5780507226929438e-07,-1.6009800045277645e-08,8.136136525112857e-09,2.5974760237635188e-08,1.2759411799555206e-08,4.0525056938920304e-08,1.2488458969514455e-08,3.5451174629102924e-08,5.3407762537637356e-08,1.318276132779857e-07,-9.02993648767156e-09,8.982778013679066e-08,2.43672982813967e-08,2.3025139308051063e-07,3.60352302829212e-08,1.6462733538672903e-08,5.760940108844191e-09,1.0518414253141661e-08,3.633812899499557e-08,1.820983836760685e-08,2.926562794231865e-09,-4.203812134510777e-09,1.3678530810547712e-07,2.042368028604776e-07,-2.470050790412415e-08,1.057775527326757e-07,1.8000585849926442e-08,1.3194698029202796e-08,5.154804481815727e-09,2.790371417893829e-08,5.151128370911218e-08,2.653481031721035e-08,3.320583903196616e-08,1.553943540562056e-08,1.215437626705509e-07,5.980193021377265e-08,1.2618931145069216e-07,1.956050662689102e-08,7.019304039478476e-09,1.4691387895909405e-08,1.2227480071837564e-08,7.128308722518384e-08,1.3191896381299776e-07,2.4418298232998623e-08,1.5447451215282937e-08,2.7342069557287734e-09,1.7033158738498924e-07,1.7386834730054394e-08,2.186668195068061e-08,-7.522362105353024e-09,2.1538290588863215e-08,6.553280042727174e-08,-3.61189019793374e-08,-5.307295354034692e-08,-4.629429107869475e-09,1.149534992166215e-07,1.8969734446651943e-08,2.473127199738133e-08,-1.0982639585602454e-08,9.791101540767047e-08,3.9543202881489967e-08,3.8640698660362355e-08,2.166109823631623e-08,1.4322470973490724e-07,4.722736987979238e-08,2.8719880760077157e-08,2.1658418362794358e-08,6.955027177380102e-08,5.133202758941734e-08,4.5581213862176296e-08,1.8067083631931028e-07,1.0716861007275362e-08,3.287461787739192e-08,6.254527191301082e-08,1.9176993116151012e-08,7.676040327191544e-08,2.127143986369614e-07,1.514305010683182e-08,-5.156447535549999e-08,1.3197352025314437e-08,2.5011729748829395e-08,3.518534411342526e-07,5.334848616275582e-09,8.356817117726808e-09,5.839163270425807e-08,2.4003355874757916e-07,9.927275237962801e-08,1.0859835079915614e-08,4.879131625857198e-07,3.690388802747326e-08,1.6232592467708368e-07,5.029594519861286e-06
MBB,6.54367519457436e-07,-1.0085731368493254e-07,9.657752866479467e-08,8.138022419937939e-08,6.386548732365483e-08,1.1851458519497516e-07,1.9637454145651095e-08,6.573465153375852e-08,1.5403897570934293e-07,4.4124620785594867e-07,-1.261730043551306e-07,5.295464758272701e-07,1.2497272917232188e-07,1.3010899644984953e-06,2.1366133258418476e-07,5.573540502383884e-08,1.1934232162208337e-08,5.3571039776051334e-08,-3.051435408563544e-08,7.603558265432586e-08,5.7829236549942835e-08,-7.563252691501936e-08,7.112047335023196e-07,8.281727618142859e-07,-5.60062429856764e-08,5.303495815792451e-07,9.032906691132519e-08,2.4103894750741205e-07,1.7726717445997075e-07,8.67591311767616e-08,1.684778574506048e-07,1.4779796011302394e-08,1.132982882956348e-07,3.794916289617376e-08,3.371169915190602e-07,9.325370378636001e-08,5.659183974536599e-07,-8.731605632284557e-08,1.1538213864637044e-07,1.4888133232266723e-07,6.059760983790444e-08,2.2985117623353205e-07,3.9768585096712363e-07,1.1099701483186793e-07,1.8569318037024177e-07,-1.1282487699858262e-07,9.561465163138746e-07,1.822862793341963e-07,5.7274098781762585e-08,7.31275110000244e-08,1.2274636581158073e-07,1.478907786572722e-07,-5.771421826776476e-07,-1.7794939719444947e-07,2.0419638863089e-08,9.151396622134539e-07,1.1633310140126258e-07,8.253807465999221e-10,8.628388748070648e-08,2.6147423226698105e-07,-1.9166958633930517e-08,2.474648591153982e-07,9.76415817104694e-08,4.994048499849003e-07,7.557662951597623e-08,-6.559517250642843e-09,1.1374436227024227e-07,2.053609852390752e-08,2.4522309737936835e-07,1.2858669255840084e-07,4.7247680117364445e-07,4.2611789583418354e-08,7.692301690738444e-08,1.8653072286334105e-07,-2.267849053455975e-08,1.0534863275554618e-07,7.326156565252231e-07,2.241809241103347e-08,-4.786559058473913e-07,2.1250937392592607e-08,1.9297404035705827e-08,1.0530870918252716e-06,-6.36706420148805e-08,-8.51356851213378e-08,1.5964419417187414e-07,1.0499301980463206e-06,4.087190800760492e-07,2.3713343092811212e-08,2.3103391896028087e-06,2.1217925476194394e-07,5.012611478507204e-07,2.0876033693271383e-05
VMBS,6.14359850898382e-07,-9.102444304559836e-08,8.49797806171351e-08,7.263172327972563e-08,6.613014170057276e-08,1.2233322730004344e-07,2.001745379679846e-08,6.367238526049893e-08,1.4166362892244187e-07,4.124351543431127e-07,-1.119587730354996e-07,4.866849355833737e-07,1.0936859297019839e-07,1.1794512009199169e-06,1.909021263811491e-07,5.8363336061472734e-08,1.495851810846103e-08,5.69049179159127e-08,-1.584971099465714e-08,6.825027778699702e-08,5.4888947503643424e-08,-6.681072270733654e-08,6.385061490944887e-07,7.693297369360288e-07,-5.311918280638927e-08,4.845699174009181e-07,7.577466163578026e-08,2.0937675094014276e-07,1.5517724646643617e-07,7.703814555887877e-08,1.5052170256107138e-07,1.6993271801266208e-08,9.693424750670892e-08,3.4734883687451866e-08,3.265754157118924e-07,8.262303380061117e-08,5.112728814082914e-07,-6.994103706011266e-08,1.0497817550633296e-07,1.2685705073584537e-07,5.441245237051403e-08,2.069490824415512e-07,3.663626086560729e-07,1.0132483017330769e-07,1.6524783132196818e-07,-8.368990227214059e-08,8.781370976810916e-07,1.5612615291009127e-07,4.819951430815643e-08,6.594325348972917e-08,1.0801780418008736e-07,1.533806337396963e-07,-5.13887351186446e-07,-1.620401710466818e-07,1.7485549448657474e-08,8.359577657773097e-07,9.95943141230449e-08,1.0300207583306529e-08,7.873172698666792e-08,2.451668641979309e-07,1.0177238418761151e-09,2.1140968954456619e-07,9.4642155617906e-08,4.5385448030531515e-07,6.851078489821697e-08,1.090833100051835e-09,9.547385765546057e-08,2.8283552541788673e-08,2.2635717834753206e-07,1.075427977526512e-07,4.246278478312184e-07,4.22399916634356e-08,7.578540273605177e-08,1.628702514625154e-07,-1.3169698764426391e-08,9.874601701343999e-08,6.926149947667669e-07,2.3238259642779312e-08,-4.369356230553273e-07,2.2262613392754214e-08,1.7416259801708752e-08,9.756131683929644e-07,-5.482533353748038e-08,-7.503638239799841e-08,1.4168422370359417e-07,9.62673345595343e-07,3.714914820821516e-07,2.83665615586105e-08,2.1092625341811343e-06,1.9364194760092064e-07,4.725912613014344e-07,1.926777938841227e-05
AGG,5.340101322987105e-07,-7.577005713895403e-08,8.06807723929444e-08,6.686725866591296e-08,5.4917261892920363e-08,9.844510497157947e-08,1.7942569156154612e-08,4.7526703844733465e-08,1.1887735066249225e-07,3.40167668153712e-07,-9.137915932440414e-08,4.285932887211215e-07,1.0189988328425488e-07,1.0928625236360083e-06,1.8597086832435834e-07,2.762818537859905e-08,1.543796792708843e-08,4.407975040929634e-08,-5.328134512067603e-08,7.270262079777275e-08,5.977935227692268e-08,-5.664652984212452e-08,6.017677930872216e-07,6.208369826715002e-07,-3.1345325991940784e-08,4.7516574525027103e-07,9.2221481049825e-08,2.2785150648542426e-07,1.7266058053267845e-07,6.713243021165833e-08,1.5715769949385558e-07,1.867499051122131e-08,9.918106486751459e-08,2.7004129267734442e-08,2.339463289305042e-07,7.056291164898925e-08,4.902836595710398e-07,-9.988956105105593e-08,1.075006903777264e-07,1.399549057257568e-07,5.39177813431902e-08,1.983434878652464e-07,3.036858390544874e-07,1.0787850961337646e-07,1.635963733820512e-07,-1.0233135962344851e-07,8.623366724736313e-07,1.7782657992577027e-07,4.057006329328623e-08,7.909593457322234e-08,1.1007450956057704e-07,1.0461599010061737e-07,-5.063187792560977e-07,-8.852365722662221e-08,2.022986364803076e-08,8.730309048237656e-07,1.1002713505747536e-07,-8.271827374923106e-09,1.0128719685678855e-07,2.126282428088362e-07,-4.6926523052312415e-08,2.353190724840721e-07,9.135920601011599e-08,4.4144936240264875e-07,4.6467754875411546e-08,-1.8379832820634433e-08,1.0275137799894231e-07,-1.6097566172393995e-08,2.1184467614827464e-07,1.1228586863991885e-07,3.8536489389433187e-07,3.890486596509564e-08,7.94024933531063e-08,1.503533740965347e-07,-2.6468136392325286e-08,5.9386865088679176e-08,5.799264289251017e-07,1.713970388070402e-08,-3.60009669355444e-07,2.1118351544796028e-08,1.922909952885449e-08,8.218570750727256e-07,-4.943860003940813e-08,-7.39576193942722e-08,1.2350658213203977e-07,8.736485393689277e-07,3.201822791847656e-07,1.3510617383592702e-08,1.8528655137736615e-06,1.7944281453116956e-07,3.914799150748446e-07,1.7246465482461225e-05
BIV,5.635824035471713e-07,-8.039584909133631e-08,8.443928063966708e-08,6.996908851908989e-08,5.5133661082125486e-08,1.0485190118932785e-07,1.968152465758367e-08,5.676817362056018e-08,1.3093483919417566e-07,3.630365316297113e-07,-9.675896465539802e-08,4.4810943382415566e-07,1.0713971535933049e-07,1.114268363331972e-06,1.8386695099085773e-07,3.764117620572825e-08,1.7167552406796114e-08,4.540183163049234e-08,-3.1965368640479013e-08,6.8673139461171e-08,5.4427722013977996e-08,-6.10136028832198e-08,6.141327641434878e-07,6.709864881602955e-07,-4.230020616791279e-08,4.7003456603614605e-07,8.764731511787098e-08,2.1707691197199352e-07,1.6287722589052637e-07,7.32681147254225e-08,1.566118593889532e-07,1.581499826393973e-08,1.0192386994422182e-07,3.11944391178894e-08,2.6683873004272955e-07,8.45903263979298e-08,4.894294034438032e-07,-8.403875043062222e-08,1.029564472827858e-07,1.3755141726818857e-07,5.344727270641051e-08,2.064439243152605e-07,3.258148564267962e-07,9.89879246430236e-08,1.6018340335741376e-07,-1.0092226395784284e-07,8.644686202159227e-07,1.648884349112954e-07,4.977433085601275e-08,7.3075008611692e-08,1.0902779720476854e-07,1.246868739506528e-07,-4.984603885226569e-07,-1.1786583795976281e-07,2.1963828019653102e-08,8.406160625201408e-07,1.0357014875472328e-07,6.637032635818396e-10,8.89315056654803e-08,2.211159086233553e-07,-2.8548261534209888e-08,2.2280362569694438e-07,8.834917409122065e-08,4.6957313314756296e-07,5.694633881073015e-08,-1.7624031499912855e-09,1.0387983322587983e-07,7.4047320045089935e-09,2.1076840662480082e-07,1.1934868299625893e-07,4.097537822738255e-07,3.667734594918807e-08,7.879500324796239e-08,1.575914654164823e-07,-1.9901338922625674e-08,7.455405346976357e-08,6.106071419474864e-07,1.721947083066462e-08,-3.8017245376505535e-07,1.935777860100567e-08,2.3117236707362237e-08,8.81859857865499e-07,-5.2641126678876124e-08,-7.066961246388846e-08,1.348814655697802e-07,8.961065283452823e-07,3.391788953693108e-07,1.645035062657285e-08,1.935134928592466e-06,1.803897031224133e-07,4.1875186670264745e-07,1.7869602507953175e-05
BLV,2.197045314080483e-06,-3.513053172297658e-07,3.640020573996322e-07,3.1388225498055676e-07,1.8107807959711156e-07,3.4128632305802664e-07,3.857987510257244e-08,1.8670509876669496e-07,5.480453325332486e-07,1.3909596906450721e-06,-4.389726271609506e-07,1.9196074328395944e-06,4.627871122062515e-07,5.2517224325079e-06,1.0144779083920125e-06,2.152461707845347e-09,8.404693299513743e-08,1.3948453475860788e-07,-5.08658069697905e-07,4.186674503795209e-07,3.215767339985975e-07,-2.417792585302612e-07,2.878194248337249e-06,2.5615727667125083e-06,1.2368998481686543e-08,2.4401791018748697e-06,5.149397237948902e-07,1.3007427593061896e-06,1.0282241780966871e-06,3.0307657109099345e-07,8.477027733754856e-07,2.1850394537115009e-07,5.224936890491252e-07,1.1162763053611957e-07,7.553962695283005e-07,2.257736294760728e-07,2.5349420218040993e-06,-6.790613395528264e-07,5.736871268219691e-07,7.857625718621396e-07,2.7359679577202583e-07,9.156113670829313e-07,1.3201084603478788e-06,6.66891715774441e-07,8.829599807988311e-07,-5.441126917417484e-07,4.396311879890889e-06,1.0197570107884815e-06,1.286367710735184e-07,5.34129096864145e-07,5.910466421424974e-07,2.2711760589138675e-07,-2.584596175613293e-06,-1.0203834619693204e-07,1.0662379708015487e-07,4.745754257890533e-06,6.10005129669397e-07,-1.4091952165953085e-07,6.729896358302953e-07,9.188678526172451e-07,-5.207817761600086e-07,1.3686407011646235e-06,5.655725705571054e-07,2.009767014216624e-06,1.5257936963252232e-07,-2.431699236162617e-07,5.166871851599826e-07,-4.4235634177386885e-07,1.0934496604377474e-06,4.988284543134979e-07,1.8031082544571708e-06,2.0407068440493696e-07,3.9675885914432457e-07,7.477876834334366e-07,-1.8308851407639487e-07,1.4718570580831914e-07,2.520988299836893e-06,7.115091435196342e-08,-1.558369925236287e-06,1.71555140283677e-07,1.9244177184964137e-08,3.4615899233932795e-06,-2.1440823658284277e-07,-3.8138919735213357e-07,5.475719903447797e-07,4.076566012100813e-06,1.399689624952283e-06,3.2773640803774515e-08,8.420354940971817e-06,8.823769232569621e-07,1.6952569034573878e-06,8.040337968629008e-05
BNDX,1.4562125037995564e-07,-1.574240355307951e-08,1.9388900921777183e-08,2.2440368498819704e-08,1.5575866529132006e-08,3.423885443741674e-08,2.5627308589953408e-09,2.0357837034646728e-08,3.286802884997651e-08,7.831722208573298e-08,-1.5662443296456106e-08,1.121920584567651e-07,2.5007553602268624e-08,3.225876275525299e-07,6.77381496956595e-08,-4.431984965236218e-09,1.818647843527484e-08,1.5234307804441137e-08,-2.950273416713202e-08,3.175369592739317e-08,2.881556663426701e-08,-7.54759589315928e-09,1.6935427071881757e-07,1.2735446274142472e-07,1.6528382163951618e-08,1.8480787494187278e-07,3.618556151403893e-08,8.886190889382866e-08,7.644066080903079e-08,2.1390118635541006e-08,6.650806349272145e-08,3.1614027029967145e-08,3.869440698624441e-08,6.161283775212767e-09,3.881713174237483e-08,1.0275641772611456e-08,1.8487183756597506e-07,-4.8844745201117954e-08,4.070305806839641e-08,6.078528943539072e-08,2.021560346872933e-08,5.345126122760439e-08,8.17912322792306e-08,5.7385003730827596e-08,5.610566962642566e-08,-1.9057761565978794e-08,3.426804250178806e-07,6.47790767636875e-08,7.824822721709882e-09,4.963322315717997e-08,4.0901495821671867e-08,1.760878507615591e-08,-1.5821363930002405e-07,3.587392653626085e-08,1.1287221454835244e-08,3.752732870179796e-07,3.774748134470001e-08,-1.3588662921732455e-09,6.460907722094972e-08,6.085562640183831e-08,-3.140476769467355e-08,9.079148478503346e-08,5.559400403645211e-08,1.84973323166363e-07,1.1162774556123577e-08,-4.09129330336765e-09,4.169258332954249e-08,-3.743879143258808e-08,7.541457230646334e-08,3.111077536029924e-08,1.4401004894477403e-07,1.819988699594227e-08,3.30660993009385e-08,5.368134728801912e-08,-6.425975186589097e-09,9.85899019795003e-09,1.7376202802843224e-07,5.086488584699356e-09,-7.413903929366987e-08,2.4005471796795394e-08,3.213423748037723e-09,2.164355589810918e-07,-6.685971700348299e-09,-1.3371934262221175e-08,3.576046148212116e-08,2.6237053376442157e-07,7.348382697090236e-08,4.744313367968845e-09,4.838295870512018e-07,4.7793552817574174e-08,1.4788663929151435e-07,5.5775851247806175e-06
EMB,8.714452012297818e-07,-1.1599028468833753e-07,1.1425306839004433e-07,1.1626520969056488e-07,6.241302311995933e-08,1.607527438814299e-07,5.302063099797989e-08,1.0498747780899369e-07,2.5505587711014576e-07,6.41888875615355e-07,-1.0609883429577162e-07,6.311011380640307e-07,1.7130021546812972e-07,1.605182971585062e-06,2.565833567799245e-07,8.056840254560984e-08,2.941186461946824e-09,4.704910025788884e-08,4.5083859461004636e-08,9.991417593075426e-08,4.626117056285226e-08,-7.793425334679773e-08,9.286754185435251e-07,1.1333569364420734e-06,-9.64068095399091e-08,6.807217811223911e-07,1.2067554141910385e-07,2.268134802125396e-07,1.5997393672737759e-07,1.2365400252895927e-07,2.6207165145082976e-07,7.934516816275354e-08,1.605684934774188e-07,6.431566494800466e-08,5.465156952914127e-07,2.1886889832286188e-07,7.349337227456656e-07,-3.687825996146008e-08,1.1263015153521576e-07,1.5113056746182862e-07,7.802599917618656e-08,3.550395726975119e-07,6.231657479686268e-07,1.3069246429391856e-07,1.9173871528532876e-07,-5.412870389323057e-08,1.0739567199415502e-06,2.129503199053157e-07,9.034971409576296e-08,1.280126083603153e-08,1.5231809208212852e-07,2.609148390318042e-07,-5.566574595428403e-07,-2.757776030066033e-07,2.6921428138464065e-09,9.374600869979997e-07,1.4884585536919062e-07,3.1443820683082404e-08,2.7088813671470088e-08,4.269907215703906e-07,5.4349698006750293e-08,3.108369191678917e-07,1.2022554517707306e-07,6.723944937255158e-07,1.461133917420824e-07,4.230260004780023e-08,1.2774060302530516e-07,1.665789616208669e-07,3.087745270545148e-07,2.1510511228715659e-07,7.097519111970481e-07,5.7418967225426555e-08,1.4886686540965453e-07,2.671531704934529e-07,2.699534567793591e-08,2.3615229565901442e-07,1.034442914236871e-06,4.9361017627846056e-08,-5.298649494393901e-07,4.149904734641892e-08,6.890589545300205e-08,1.6141421308707211e-06,-3.245692806967576e-08,-6.661396380826461e-08,2.496844440267027e-07,1.4089738891092529e-06,5.563802508065661e-07,4.034889847593815e-08,2.9971771761563285e-06,2.866589261188042e-07,7.576832681036592e-07,2.765518638270366e-05
GLD,1.2777122023954836e-06,6.241977676231289e-08,-2.221995928691932e-08,1.8042247993353263e-07,4.490781861610892e-07,5.956590576993455e-07,1.4112323442315205e-07,2.2978477364744788e-07,-1.1711957143745132e-07,6.697851118768913e-07,9.442713003314101e-08,3.652325065932207e-07,-5.8916629047553935e-09,8.633160344751972e-07,-8.254417156524925e-09,1.1380045089147614e-07,1.152860930844581e-07,3.6373185272490666e-07,2.45412580578474e-07,1.3269389299378687e-07,2.673632639090667e-07,8.298686040028365e-08,2.9772462526498387e-07,3.868596802581068e-07,-1.2901794385913647e-07,6.746746887317247e-07,1.0113991171370046e-07,7.411313959373662e-08,-1.6823374385399565e-08,7.69232194643315e-08,1.5340149553149902e-07,-1.647456434985401e-07,9.495625901713634e-08,-1.4008028025799364e-08,4.794018805681312e-07,1.9701354532963364e-08,7.492379771831563e-07,7.475424109418764e-08,1.297455021545999e-07,1.4994476413154493e-07,8.868747124011643e-08,3.0516779805044286e-07,1.722160556150705e-07,2.9441483305446576e-07,1.1723107463375612e-08,-5.855989895996677e-08,1.5462272748320519e-06,4.333973978353305e-08,1.4702797831363596e-07,1.2987372198106867e-07,1.0399216773133897e-07,4.303529439697259e-07,-2.0289455487128193e-07,1.7390763036378123e-07,1.8645721881689506e-08,1.4758788982663762e-06,1.0992945623808986e-07,2.636201000026243e-07,1.912933195654972e-07,6.448512787689257e-07,3.314895073506831e-07,1.9291979459672527e-08,-9.708000042236608e-09,1.4224255147337698e-06,1.5364621569411516e-07,2.3347564587632022e-07,3.270279743178247e-07,4.2742379742878587e-07,1.493696285874249e-07,2.4417136199413325e-07,1.2175975191141263e-06,6.51582908624068e-08,3.168052809292148e-07,3.393848971810142e-07,-2.1919229165332933e-08,2.231290765578515e-07,1.4039775841266696e-06,5.7706623717576724e-08,2.403790786700788e-07,6.727483646180778e-08,2.615520816013049e-07,1.6124444790556248e-06,-3.822755348074955e-08,1.1695519284439735e-07,1.672793382320734e-07,1.3781973848864698e-06,2.514365968188594e-07,7.521067995988079e-08,1.378292471496292e-06,-5.5616172972889134e-08,9.600323945490748e-07,2.756650878625187e-05
SLV,4.3108123101761425e-06,3.864535401599842e-07,-2.981406731150867e-07,4.679932791320241e-07,2.092845330720146e-06,2.2956896828315737e-06,3.1626101599512483e-07,1.0361429067144434e-07,-1.6720091460348037e-06,2.0703708437412024e-06,5.584559956020257e-07,6.745062249747843e-07,-8.679873275336151e-08,1.9238125243770735e-06,-3.017839493577587e-07,1.8073784336615903e-07,2.1748663949542227e-07,1.7665820802045178e-06,1.3759137050081564e-08,3.7536532224193895e-07,1.20587411272342e-06,4.133233569480324e-07,6.348655185582052e-07,8.351381611757062e-08,-2.8255527000031177e-07,2.4640845499026657e-06,4.7275269097661026e-07,3.5318709493452785e-07,-1.8090644041906299e-07,1.6038911172617286e-07,-1.0580272590723012e-07,-1.0444463821917808e-06,5.406205248636603e-08,-3.072752845973074e-07,1.0258671072280818e-06,-2.963483912820777e-07,2.1048261942261295e-06,-5.260070457194983e-07,5.602822617235605e-07,1.4352643247942008e-07,3.6811436880848437e-07,-1.253742393210839e-07,6.684690117144033e-07,8.447072671510108e-07,-1.0738396485084508e-07,-7.801272156176283e-07,3.999202418158745e-06,5.903878195884389e-07,3.912820898966961e-09,-1.6938132650306686e-07,-2.0811110281511938e-08,1.122104399205752e-06,-1.965801322087324e-06,8.756097566115243e-07,-2.5846257309736444e-07,5.678464014706773e-06,6.110907276385511e-07,4.536730543287242e-07,6.70366750963441e-07,1.973635710973564e-06,1.5591185935918823e-06,1.7337671592435408e-08,-4.453526982328719e-07,2.735515538909005e-06,6.474965204457016e-07,-1.2885975550728233e-07,1.2815529615226012e-06,1.921602495544848e-06,5.37409160598122e-07,3.870296388888982e-07,2.9437622913245887e-06,5.881628374369589e-07,-3.0749066424850235e-07,7.428892998315023e-07,-6.367027247376471e-07,1.3756308659965765e-06,3.6026569137317997e-06,4.187532086371995e-07,-2.392859705513576e-07,-1.4371003409285098e-07,9.296808531216263e-07,3.571490302588232e-06,5.7012887327989973e-08,2.5147745631562984e-07,1.9569194108064765e-07,3.5990930944663883e-06,5.027169531381601e-07,-3.296526514659375e-08,2.4522701609254123e-06,-5.662121585286846e-07,3.326923727000652e-06,6.642774289218086e-05
USO,9.076299022577508e-06,3.4623235415681826e-07,2.4830265343843887e-07,1.1350020881461637e-06,2.922834993386292e-06,3.96600671615026e-06,1.1274677294473576e-06,1.3118898807955984e-06,-3.0238756262297e-07,3.740553759445432e-06,4.4692193942963843e-07,3.782406458563736e-06,-1.1242397777231773e-07,9.703807145560448e-06,8.879417012008498e-07,1.834975715328821e-07,1.275130148478319e-06,2.3692255056152426e-06,8.922067696895557e-07,1.2157633342853506e-06,2.4268191726822853e-06,3.263025728768355e-07,3.989690107391877e-06,1.9914007882852794e-06,-6.019507705186944e-07,6.918234649829393e-06,1.3369627756346041e-06,2.1290406074097516e-06,1.7529123950150926e-06,3.3325696232966813e-07,2.2229478084660995e-06,-8.80352177236915e-07,1.0017767618442847e-06,-2.1358841480012152e-07,2.142915321316427e-06,-7.678286976227708e-07,6.365505127102548e-06,-7.923162419720592e-07,1.7458396198986873e-06,2.439210934551513e-06,9.083263695753049e-07,2.773547996302452e-06,5.260050497621376e-07,2.5064383874288535e-06,1.1059354421800283e-06,-5.830137528235121e-07,1.635063316874691e-05,1.6385301177480594e-06,1.066917877253601e-06,1.9088526611356377e-06,1.4295736653187143e-06,3.243556800400283e-06,-4.522824565906419e-06,3.651933374243061e-06,7.440510880401094e-07,1.6865291768955667e-05,1.21777001238444e-06,1.4008964283110794e-06,3.0463151205251974e-06,3.972939300868561e-06,5.235466836535309e-07,1.7061257462714724e-06,1.0489263800683604e-06,1.424776056254413e-05,-2.396472857335702e-07,1.9132447904019237e-06,2.8055172193518532e-06,7.117304529372262e-07,1.583948870974152e-06,2.4333790603666638e-06,7.275817639217217e-06,5.625380134839016e-07,3.54795139999216e-06,1.6426297401460512e-06,-1.9251464504073994e-07,-9.340322234276072e-07,9.40921543325823e-06,2.9373023491213656e-09,1.2732699223966313e-06,7.179979411728069e-07,1.685911932597986e-06,9.940747884192765e-06,-4.2768774170934467e-07,2.8263967903157114e-07,7.14263500190435e-07,1.0308344859194282e-05,1.5952553364413679e-06,4.745774284912118e-07,1.2492083809221947e-05,3.855903915827501e-07,5.831608659711224e-06,0.0002300595271573469
