
key = model_output

vi2_forec_ratio

key = vi2_forec_ratio

,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
VIXCLS,1.0,0.8835674313716598,0.8735064300776362,0.8598588694090972,0.8513455077826684,0.8459225928374388,0.8413909711720029,0.8318273806067583,0.8260226612917404,0.8292844659808456,0.825415321686478,0.8329012340032922,0.8260635150546672,0.8189117426426572,2024-12-27
VXDCLS,1.0,0.8716114646297838,0.8635526769936327,0.8544741040211148,0.8418812969025185,0.8356193391046737,0.83655849345722,0.8272948086466366,0.8204116018422051,0.8247506613849909,0.8189430869299684,0.8204306710855575,0.8179148228709904,0.8096655220760199,2024-12-27
VXNCLS,1.0,0.8677399936733674,0.8616857196533115,0.8454273497525926,0.8358672834231393,0.8376746640297543,0.8210656050106081,0.8108996960986962,0.8071856174143959,0.8045039261760822,0.7972549229989414,0.8109966505462028,0.8061452077120755,0.7948788423502677,2024-12-27
RVXCLS,1.0,0.836936441755766,0.8339989330360483,0.8290392179658704,0.8144765103912499,0.8083759541530955,0.8025547072811533,0.7997683338466374,0.7904723001778866,0.7907939125192898,0.7854476117579258,0.7841935586018239,0.7809219069839052,0.7728016489736552,2024-12-27
VXEEMCLS,1.0,0.9519201695047221,0.9366098028894593,0.9178661058261337,0.9054747786411145,0.8936814357263746,0.8779559128861489,0.8641059561226733,0.8568082103993825,0.8508144740262773,0.8478137569405062,0.845182391329062,0.8417598391370389,0.8383218818319368,2024-12-27
VXEWZCLS,1.0,0.8099969939092682,0.8095555446017757,0.8091527387155392,0.8097369917782189,0.810203410526962,0.8089437697498502,0.8064861465644456,0.8047374946594403,0.8044424129314598,0.8036427509581197,0.8017575382846968,0.8002093043717738,0.7984331105669019,2024-12-27
GVZCLS,1.0,0.8722228493398967,0.864837018118958,0.86185979014055,0.8565120820411656,0.8517103199595503,0.8412413916126562,0.8337234365034497,0.8307650973504913,0.8240853127694703,0.8186222609951019,0.8150486117681421,0.812007888348187,0.8079675220571676,2024-12-27
OVXCLS,1.0,0.9890789436891975,0.9664612902543719,0.9396230157531957,0.9103042612617689,0.8935735744979132,0.8793193221818584,0.8626324870604076,0.8536636879503683,0.8454261887141808,0.8367909967358529,0.8322769768642381,0.8286402256771704,0.8250941809921205,2024-12-27
EVZCLS,1.0,0.8985962518696189,0.9131358962144264,0.9126540505384424,0.9253055923940181,0.9283318151837687,0.9242176501266494,0.9362984650124457,0.9512205315651783,0.9528796419366051,0.9619595369306011,0.9734044827962277,0.9797867919986688,0.9820600020302822,2024-12-27
VXAZNCLS,1.0,0.9502962747532817,0.9506186843449546,0.937004700902822,0.9312695565329392,0.9167168851802405,0.9011817592109546,0.9010271890693259,0.902460644592035,0.8986219102746322,0.8962561512365038,0.9006424210143134,0.9014606863307226,0.8965706007127356,2024-12-27
VXAPLCLS,1.0,0.9142020456906317,0.9050729897538211,0.8924834635791865,0.8838018804164199,0.8698557041945867,0.8604013580212023,0.8587126122036971,0.8552353898144154,0.8526646695540591,0.8546847429602075,0.8609522932077787,0.8573613111735526,0.8534270583124236,2024-12-27
VXGSCLS,1.0,0.8254545124615063,0.8252882495472272,0.8186455582709115,0.8150647471165787,0.8152387041452979,0.8198742941499592,0.8167557368198171,0.8134161368339271,0.8144518692421915,0.8137289655295609,0.8143255716907022,0.8172879811495294,0.8136517092720992,2024-12-27
VXGOGCLS,1.0,0.8744688057243825,0.8591369885032838,0.8494904366772819,0.843502951873936,0.8376855114104134,0.8358871209718882,0.8395426097470005,0.8432271703143465,0.8449572098029591,0.844851591869545,0.841913464719481,0.8381283816250252,0.836210533752063,2024-12-27
VXIBMCLS,1.0,0.9609232876059667,0.9300792839333993,0.9201990812705118,0.9116315811993658,0.8989660031527328,0.8922820758617603,0.8964571891093062,0.9051798945985872,0.9098376006805327,0.9088734029724558,0.9080299035869619,0.9068071181926527,0.9019963135084408,2024-12-27


