
key = model_output

qar_coefs

key = qar_coef_comm

,"(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(6, 6)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(7, 7)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(8, 8)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(9, 9)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(11, 11)","(11, 12)","(11, 13)","(12, 12)","(12, 13)","(13, 13)",pred_err,asof
VIXCLS,0.010451366488941955,-0.00033651191946135265,0.0010246116570448074,0.0013177040370050046,0.002044504295293226,0.003099633684947746,0.0010776004444785347,0.001284615203365758,0.00030744616014618614,0.004651559211506083,-0.00040652682314582086,0.004744105374756558,0.0007500259087274925,0.011838400101121676,0.00041816162900819423,0.0014195499605142504,0.0007593117778947245,0.0019407812555172978,0.003046663247807764,0.00012558971723774872,0.0014671250991148308,-0.000633307805197261,0.004971378614887505,0.006469240103256919,-0.0014511584979196974,0.005125175503147689,0.0006973807169746911,0.0006695905662146786,0.000482317229199554,0.0011689766447641398,0.0014208786740243738,-0.001558813151169085,0.0012740449116493736,0.00012372110576873416,0.0046963887529782216,0.0004032047915682301,0.0057907938607835545,0.0003449938377743643,0.0010398652842212015,0.002570878189604246,0.000991535041021362,0.0018589175855178823,0.0036284051523629043,0.00033196488823105595,0.0006353115416069859,-0.0008493020685896053,0.011258977789610965,0.0003358833557824112,0.0023827374204632174,-0.0002513850921666538,0.0010257067878963431,0.004037509739902102,-0.004386336483538738,-0.0009006053733435728,0.0007885447755521975,0.008242394197581146,0.0005405219454331522,0.0011832289849019362,0.0005364420338084869,0.0029211138762874856,0.0020985542838116654,0.00021607162415309544,-8.053251316930575e-05,0.017362144148011918,0.0013585665803276625,0.0034299614507999933,0.003238117491297951,0.0032804936406556147,0.00046605507552775044,0.0032563711277946474,0.008668438047650804,0.00018940612225589113,0.0013311682419480532,0.002015025093777841,9.58135733069145e-05,0.001191104890362657,0.009532731619423345,-0.0003169366367559615,-0.0038853533880508512,8.982319523322241e-05,0.0015725929967381808,0.011787971802351136,-0.000753438117941403,0.000346469272123368,0.0016249878766169186,0.008451717052228651,0.002910563395708147,0.00025166538198531316,0.016416391158744353,8.868077631326528e-05,0.0076467068274593585,6.667840235970861e-05,2024-12-27
VXDCLS,0.009409481137309147,-0.000249267133689033,0.001301484763861426,0.0022980867535313115,0.0011535876996718753,0.0020200289745106537,0.0007002771214411961,0.0023001560576397656,0.0005842199615728882,0.004803002286837129,-0.00035690149619529445,0.003933531286289615,0.0012754213920394086,0.010822622738196851,0.0006138782858807167,0.001086673845224693,0.0009632660371458684,0.0012657383935845855,0.003630113190484589,0.00012701919786527196,0.0011994859502986953,-0.000674923159114397,0.004407765861726361,0.005149771308100216,-0.0007867908481635535,0.0063833757971746025,0.0012004643615248169,0.0008608393748479138,0.000600419210356869,0.00213486068886835,0.0023016185484428103,-0.001181350785658825,0.003179720628793547,0.0002730261239418993,0.004444209207970829,0.0009780904604451527,0.009415690635711106,0.00038498224422756116,0.0005571438844606187,0.004432912697766205,0.001410621344754417,0.0017255671771408678,0.00584361770112461,0.0008355628875483937,0.0005076653626648171,-0.0020063147930063584,0.012139629257879448,0.00012475183417751242,0.0038230111912482215,-0.0001366910990264482,0.0015979368584002217,0.0035243687629032895,-0.00356945778431693,-0.0009067683431645751,0.0013059037811001726,0.00628495828185452,0.000584659062430121,0.0010744743082442083,0.0003994613462929727,0.0031748746900170555,0.0015762818467143947,0.0007917034235137702,-4.4635822149351476e-05,0.020088953838719274,0.002954331811861189,0.00457736468772096,0.005634413151158698,0.0033284680264166317,-0.00029751551036206293,0.004715921943065737,0.015917356616227004,-0.0002634295533883871,0.0005898917474551075,0.004569898764673377,-2.855294426272751e-05,0.003011999544274082,0.009665879118850515,-0.00079358083306962,-0.0036122358680060985,0.0006754243916943599,0.0019623536785813075,0.017885813878659826,-0.00094312897056229,0.0015521038006219186,0.003528393178580243,0.008137079713127332,0.002924182851780703,-0.00012696142702513317,0.015404611754191345,-0.0009974222212367852,0.011314342379722607,5.966778679255186e-05,2024-12-27
VXNCLS,0.008955649572457255,-0.0005755423702060771,0.00099120742805029,0.0006910366791905483,0.0017518634174447858,0.0028469839985982067,0.0006474245173679816,0.0010240313529244862,0.0007673033868746188,0.004614677658521429,-0.0006242413570635704,0.005146914026449746,0.0007540144961854687,0.010548288868950555,0.0005989588221096555,0.0015963686971160892,0.0007767496213000607,0.0015991668969009866,0.0016884368835090027,8.895886640137264e-05,0.0009442627593683881,-0.0007345982226924002,0.004915901383150954,0.007475252198583495,-0.001197327621750232,0.0040755472166808466,0.00024556217987695806,0.0008501189726137386,0.0005818540569337314,0.000680515227916228,0.0007271930717229627,-0.0011058948382831446,0.0005119618413570862,0.0002524851875711519,0.0046014843550263055,0.0007724068740046957,0.004036993688272545,0.0004649392242784538,0.0010284789106462205,0.0009893338730703487,0.00048619300131866506,0.0019414272792167417,0.00319018254607083,1.1617073120480503e-05,0.0009179138450341642,-0.0002761952747817998,0.010243839960845052,-2.3128351490413956e-05,0.0009228061468388112,0.0005841280761209597,0.0005894350576196089,0.00396720775787775,-0.004129019488826977,-0.001587805825056992,0.0005537063453491898,0.007491745827479299,5.385584750338844e-05,0.00113459182627255,0.000659545126984277,0.002280311126072234,0.0019513726797694587,-0.0002750365705879671,0.0002825698113875341,0.008105096218996405,0.0005035367639657817,0.001760543854684525,0.0011560056079445405,0.0019117789546890536,0.001223376548044031,0.0010338325412948856,0.004112430686215654,0.00031251330359523315,0.001174859185191599,0.0008014678184302162,0.000230187418478665,0.0004851346256330443,0.008413402894649992,-1.007344772504253e-05,-0.004274212355302829,-0.00012710855033915548,0.0007862349234055337,0.011539206454142482,-0.0009507859688391891,-0.0003729853628405121,0.0010802443230186012,0.008604521254764888,0.0031047875120689453,0.0005087875849757889,0.017640342781499212,0.0009227589407744335,0.005346597580806066,0.00011200322609833857,2024-12-27
RVXCLS,0.009501626942394066,0.00017931534161988149,0.001072551657220698,0.001727841191693795,0.0018097516910447408,0.0026351702008614868,0.0007216292590788691,0.0014489444543802743,-0.00033559727611236624,0.004742438841488442,0.0008510763443811358,0.002965695928186071,0.0014368858201711128,0.007965266730007825,0.00017230807947149861,0.0012320988454749277,0.00034359704103730394,0.0015071373566326901,0.0021931414286754467,0.00039014681150450944,0.0010738244182039536,-8.536230513561648e-05,0.004219165801505003,0.004119406394237795,2.7494345816705395e-05,0.005375306353326588,0.0009190895869193375,0.0007279203236058737,6.72915790524051e-06,0.0014959546944660976,0.0013208712204423854,-0.000556434866592178,0.0018218677807064277,0.00017909798194094264,0.003926195029175661,0.0015150904101960347,0.007677378818530303,0.00033144214422980094,0.000584569393679167,0.0022915121229963027,0.0008661961997164652,0.0012749304690599893,0.004308201951129196,0.0012713262505299968,0.0002370534298023624,-0.0004246649193281434,0.009234673808857913,0.0002545219200548469,0.0023916138976033063,-0.00013927889205588264,0.0010886513568531383,0.002218942739996301,-0.0022488601461993336,-0.0012582562465556437,0.0004939401964980449,0.005860424975546865,0.000794648059979855,0.0008902162094831029,8.447785232070964e-05,0.0036357028632878906,0.002421391020156835,0.0005464304977777938,-0.00041734639243899376,0.011967563477351992,0.002500809934322083,0.0022081512286831694,0.0036876090945262003,0.003844517376767423,0.0003724280926654528,0.002749607230465226,0.010982668714798903,0.00012928059993814022,0.00014926584296902996,0.004135782852173121,-0.00022748896297268597,0.0034528413453351896,0.00906711051934829,-3.3280277449895496e-06,-0.002549492534190724,0.0005426869152283274,0.0016189504654989572,0.014299669076094128,-0.0005329527328257586,0.0010914280003698935,0.002632816043602694,0.01214752840110795,0.0027610581038103018,3.823231152143794e-05,0.012700414671633452,-0.0004198009315085482,0.010725852466883214,0.00017581975970751607,2024-12-27
VXEEMCLS,0.005042556134021402,0.0002326280554544643,-1.7451846657911595e-05,0.0012644814864653032,0.0006795691688299455,0.002384160271111678,-0.00023762265631803233,0.0021642926075322766,0.00022679293346544643,0.0020313636608380726,0.0008090745525801798,0.0009708902797136155,0.0006079144270807482,0.0030193953261295073,0.0007219933529422875,0.0002853262019654878,0.0016200498483529718,0.001270908716842455,0.0017461981966483977,0.00047240714046926826,0.0007111723876278444,0.000559380099111105,0.0007457999364169474,0.0012530661218428238,0.0014582808154187425,0.004742774588768239,0.0005245895963103865,0.0005960425347893852,0.0007661849884106516,0.001724011704325302,0.001517785420774428,0.0018830960644392934,0.001760365309623682,0.00023661145327025574,0.002082603443996831,0.0012115996686143026,0.00643123680581767,-0.00015134424875295937,0.00019029042859963129,0.002151119249567878,0.0006797769515015866,-0.0006005555567131332,0.004341897708365159,0.001564746739238389,-1.3600332244087092e-05,0.000560181063275764,0.009188717404238505,-0.0005120936356173077,0.0013091059861811134,0.0011711328934096799,0.0005046122359225115,0.0012820898534530074,-0.00045689090731499424,0.0015023499266517933,0.0005291187082761435,0.008810270736111445,-8.885290382230344e-05,0.0013565505855649023,0.0015213824253017727,0.001744387738863652,0.002071927602336935,0.000281545865944675,0.0019476107075346333,0.01233428392900097,0.003175351141870694,0.0024229372665234257,0.0028214878011867824,0.001730201717468511,0.0011838305380550774,0.001201752590703469,0.010686922157875901,0.0007620352332781824,-0.0010527570071408726,0.0031511576964210293,0.0005451569495955523,0.003987759095265482,0.005792601929438579,0.00032171589890435257,-0.0011046720139725548,0.0014818171690868973,0.0007101470739025925,0.008049160542006398,0.00046303637499327434,0.0018704885465882744,0.002239377215394762,0.004049697690789007,0.0008173539410957086,0.00015256418123908903,0.005410051058654104,-0.001248596199259083,0.01035940408033181,7.382290198902595e-05,2024-12-27
VXEWZCLS,0.007659628235498194,0.000574482149131411,-0.0004057079854712124,0.0012262046378727672,0.0021340358059731344,0.0038313608320880814,0.0003395330029466989,0.00141117757770437,-0.0010738694467785546,0.0025460841033263146,0.000898956765480922,0.0012773603295055422,4.280348415855363e-06,0.003976067506890448,0.00022783494582085867,-8.770564581103884e-06,0.0013961456580687207,0.0023779546129525275,0.0008859995185426772,0.0006738361653456945,0.0014780563788265124,0.0006989528139286413,0.0011472084017928146,0.00013727538500051169,0.00024736731799048135,0.005202598378490623,0.0011594576593999721,0.0008941234667636539,0.0006153783426612516,0.001053924259011537,0.001182824509661213,0.00013002576218094474,0.0011980361968921371,-4.396147225173478e-05,0.0015745047588716595,0.0006549507418832168,0.0056795341776367915,-0.0005545106814594452,0.0007930475282425924,0.0014374063038377026,0.0006419467089655934,0.00028722509971793216,0.0022613314431603527,0.0016421331149933044,-0.00013402867307023674,-0.0008788358712833961,0.009375358672719207,0.00019009349820024317,0.0006129140739223812,0.0009083866570188862,0.00029630870622988133,0.0016259876358104303,-0.0017507421500050943,0.00226120078980513,0.00016965179421786941,0.012288847552468722,0.0004858504447559194,0.0013065751585501326,0.0016649248060524632,0.002332686076858925,0.0020405728827674278,0.00023473405932151448,0.000639478227783602,0.009984713967051376,0.0017361023276955864,0.0013050092371554708,0.002268572473150249,0.0021472395433241804,0.0011678024696050431,0.0010878338871515212,0.007367363329129801,0.0006993030520191606,1.4608692600617082e-06,0.002013834048135131,-0.00010433802840076526,0.0020247236626910327,0.004994561354303432,0.00038818058079566727,0.000531997383638222,0.0005197421868453231,0.0011572652693741439,0.006159407085983997,0.0002029477881792601,0.0011270411645975292,0.0010604457753509854,0.004605553112367318,0.0006810278719480463,2.1176168001492795e-05,0.00435783537059564,-0.0009926054280897394,0.0051394747475291555,9.868837863799189e-05,2024-12-27
GVZCLS,0.0037741201745787323,0.00016355934365038413,-6.838969597482363e-05,0.0004527616125437055,0.001079007898107558,0.00167227143218388,0.00042350894674895165,0.0005908913754490569,-0.0003003308259590784,0.0017395931759157472,0.00020008417979470327,0.0008762640211181624,-6.070344367766465e-05,0.002558920392080532,1.1642179550151858e-06,0.000313331060740373,0.0002885667558128502,0.0009717316157830873,0.0006573176549687649,0.0003448475324916097,0.0007026063289454161,0.000202670266961649,0.0007601175062986058,0.0008959223697419991,-0.0003043113687558956,0.0018453179463918694,0.0002513191553906095,0.0002061814871982944,-2.0841923541180504e-06,0.00020408391282639637,0.00044993658781780865,-0.00038596768667765747,0.00028631943619913074,-1.2358358679248206e-05,0.0011433443794718614,4.043598085328613e-05,0.001698558572487458,0.0001856637759880339,0.0003432783822943082,0.0003582381088158097,0.00019080220581769815,0.0007006214301295832,0.00037138334045324034,0.0006858465817605493,2.7254160143538733e-05,-0.00010161654422198724,0.003612734939204552,4.712714235864365e-05,0.0003315821533261275,0.00034270171291172753,0.0002487247678019284,0.0009857837602575074,-0.00044642813521728785,0.0003910932743788422,3.5872200085635436e-05,0.004177675154490142,0.00028172669944567856,0.0006849964052658208,0.0004735487312012523,0.0015786437714894526,0.0007830263151912655,1.2053152018758087e-05,-2.8171902705086765e-05,0.003892825912519977,0.0003593860058371667,0.0005850557086965108,0.0007803078833229471,0.0009839474689112314,0.0003523735564911715,0.0005359551046447142,0.002905082914315993,0.00012641092400758497,0.0008757977716410023,0.0008026111918277182,-1.0131103917273824e-05,0.00038923417617677084,0.003405502154549568,0.00011495124225363523,0.0007006904320328998,0.00015402663995334415,0.0005604383074057169,0.004020598310610094,-0.00011921527332175106,0.0002548350326244952,0.00034128966532836525,0.003265824330224895,0.0005115519748136383,0.00017859810380503195,0.0027438584384188417,-0.00010366696840735328,0.0017354196166886984,2.733616470127193e-05,2024-12-27
OVXCLS,0.006112507678379319,0.00020901454063476475,0.00014444073562008776,0.0008410880453511303,0.002047803665319008,0.0032439363733369154,0.0009319606753753633,0.0009014939588569386,-0.00033946942380071545,0.0027149352690747064,0.0002561826701322816,0.0027526448173883734,-0.0001484170363747113,0.006605466014955533,0.0006218316326525665,0.0001905536319846296,0.0009030292546488332,0.001920618203741733,0.0006763142926374078,0.0008632619319321274,0.0018447500680073027,0.0002061189140583211,0.0031302405279359366,0.0014453946812537386,-0.000492122347192285,0.004905883233052798,0.0010507938631457237,0.0016437855603535702,0.0015218252960266644,0.00027613017685391804,0.0017321116271513252,-0.0006470357349583271,0.0008643165799702456,-0.00012091691898739614,0.0017294655185299504,-0.0005625764837422783,0.005411202614992043,-0.0006659621089557344,0.0016319258941632387,0.002155397944769216,0.0007353866195112534,0.0021581194777276934,0.0005484875962856121,0.0021640869290079578,0.0009000439661102069,-0.0005411330925876699,0.013489798943202428,0.0013009530428236664,0.0008823624050790401,0.0014995180053776899,0.0011472493847589688,0.0025918200145405614,-0.004004548500080069,0.002941124999324127,0.0005653548959669917,0.016837688949359025,0.0011601285192436475,0.001193329363595871,0.002638689787335476,0.0033792686486873763,0.0004663158833823293,0.0014434252422038682,0.0008492881104821419,0.013859709839361039,-0.00011994768759248853,0.0016824866862994703,0.0024437100192332114,0.0007271907095516192,0.0013814603892732067,0.0021499491028257305,0.005921590401575473,0.0004329998101986357,0.002865851448453607,0.0014467764992744064,-0.00012896799972822126,-0.0007337912133288827,0.008068180987015759,-4.248037786642387e-05,0.0011511826098409503,0.0005892606014889645,0.0014792939249209365,0.008386332822876305,-0.0004040006011505599,0.00024429096311731207,0.0006231704385782445,0.009468128811908632,0.0013758734430299236,0.00041172198057075137,0.010579155097946148,0.00022690203681704544,0.005059512006272828,0.00022909701357358943,2024-12-27
EVZCLS,0.006130693695220799,0.00028155609980201054,0.0009649911087152494,0.0004981113688060286,0.0011100570262119061,0.0017314995135422166,0.0005759907616241943,0.00014462705987334268,-0.0002751092724112577,0.0020028463138968677,0.001177042652350575,0.0021845675075745003,0.0010467564442592507,0.005445858348082455,0.00017780148813337457,0.0004791961020449113,0.0001604971169998051,0.0008631583150293254,0.00032883737839231787,0.00031460625915726817,0.0007341343298737239,-2.0873220871603428e-05,0.003495004365242898,0.0019554957769063073,0.00033404380018835797,0.004155728937184976,0.0008050724144722248,0.0009600320725426505,0.0005267100087589369,0.00039772033220186796,0.0009983040086333956,-5.4063480471055256e-05,0.0004814291244066182,3.3432185979267036e-06,0.0019239624320181927,0.0012239597101674346,0.003142219858678175,-0.00046315055590483167,0.0006859168492917147,0.0007302680098536541,0.00041000886954286036,0.0009056203657068698,0.0014214961139011422,0.00042159684606520145,0.00039600515171248746,0.0005088505514958863,0.005034441596892492,0.0007931246523101395,0.00038009971057099176,5.658857719499023e-05,0.00048231408178830445,0.0010775027122560228,-0.001999644239016559,0.00019818522567152807,0.00014464094056738138,0.005255740621215779,0.0006063457084459117,0.0001538595828015624,0.0004942249158356706,0.001540091947610655,0.000962847981127758,0.0007080942805344099,-4.44287069425859e-05,0.003956436273574141,0.0004314031321940694,0.0002799009426270766,0.00098854216513533,0.0014029434265591227,0.0007463200657279041,0.0008218870261101104,0.0031964115034122382,0.0003556901483906751,0.00047127166425422893,0.0009700150837342146,-0.00015984446358877717,0.0009599559662865553,0.003971179624375923,0.0001393926881472259,-0.0014202522076525734,8.366991328083328e-05,0.0008091521521800992,0.004641859191620068,-5.548598103080084e-05,-2.547982101511816e-05,0.000661593645222065,0.0072051592892948615,0.001328947495352734,7.571306242709806e-06,0.008189026134942233,0.0006517641156686508,0.00513723074838281,5.757094417145927e-06,2024-12-27
VXAZNCLS,0.006672120690030756,-0.0010254568296750248,0.0009714934124135229,0.0005634212102232206,0.0007264852371598976,0.0017756454091857846,0.0004980292467962166,0.0011755191664705382,0.00202695996826512,0.004265221289427913,-0.0015120082741356836,0.0052398602432675336,0.000722795858437791,0.011147997442938226,0.0010634784447299355,0.00160494209076315,0.000754275140065556,0.0008002409507771063,0.002128195883174843,-1.5947709668127386e-05,0.00040946776097121844,-0.0011614611322594748,0.0054489180542713735,0.008537032895876364,-0.001300467672471396,0.0027595391989671024,-0.00011162453999913372,0.0007765565135063002,0.0009004159296564244,0.0006930046571180634,0.0009378137586590773,-0.00043740494672686955,0.000627315532364433,0.00041729274098613464,0.004130229138472045,0.00036595205763609225,0.00389282069005774,0.0008505230076226,0.0009264883033985634,0.0015350076940450256,0.00046567932503764235,0.002211801305640846,0.003838041915158107,-0.00012808163384889516,0.0013048571235374656,0.00014569884662350507,0.011318440001742265,-0.00011083325109409697,0.0014746060280398864,0.0007038612392695558,0.0009318617154561727,0.004423668346432988,-0.00463264726471401,-0.0023897295891891902,0.0008844017559551438,0.006496229641850689,-0.0001894601486579792,0.0010606918739517897,0.0004951272157379955,0.0019533318836690437,0.0012827553747456117,0.0001078504599980088,0.0009816656513723788,0.010084903423415052,0.0002917662553737973,0.002427714381770037,0.0009853624834821903,0.0009717126140209241,0.0011736762750593369,0.001356009809845585,0.003546278277255413,5.315192094743597e-05,0.001722054951088762,0.0007515863045724233,0.0006352465170360339,-0.00020562864753548873,0.007695268109916935,-0.0003325369751536649,-0.005396212474152247,0.00017804746602465384,0.00020553769031408115,0.012534171945536032,-0.0011404143256780774,-0.0005206971077499226,0.0012765811215065639,0.008590609466599855,0.003530075879078387,0.0006978173980231103,0.01855855022656831,0.0013306164761508405,0.004645941903863394,0.00020065228734773564,2024-12-27
